No.	Phrase	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
2161	沒有好遊戲	4.383	4.250	0.41	0.382
1906	不差	5.500	4.571	0.612	0.562
1975	沒有太了不起	4.814	5.500	0.603	0.577
720	相當震驚	2.889	8.188	0.774	0.348
1313	超不適合	2.500	6.375	0.577	0.992
1400	也許死	2.375	5.786	0.696	0.452
970	最沒有利益	4.660	5.675	0.377	0.435
864	較為嚴格	3.644	7.067	0.425	0.521
1419	本來拒絕	5.000	6.000	0.829	0.624
1288	完全沒有認真	3.111	6.125	0.567	0.415
1308	完全不適合	2.667	6.000	0.471	0.816
1149	十分不喜歡	2.500	7.071	0.463	0.319
1254	更沒感情	3.500	6.313	0.5	0.788
2180	不很滿意	3.433	5.763	0.437	0.587
1977	沒有特別了不起	4.775	5.500	0.657	0.412
2022	沒有完全成功	4.500	5.278	0.577	0.533
1503	也許比較好	5.778	5.111	0.583	0.614
248	稍微放心	5.833	2.713	0.254	0.473
474	超喜歡	8.188	6.213	0.355	0.176
85	超正	7.556	6.667	0.497	0.471
218	更佳	7.000	5.111	0.0	0.314
1543	可能很希望	6.500	5.714	0.764	0.7
496	極為殘忍	1.310	8.656	0.266	0.279
659	非常認真	8.000	6.000	0.0	0.0
623	有點慢	4.000	2.556	0.0	0.497
362	略微衰退	3.833	4.063	0.236	0.3
54	十分可愛	7.678	7.143	0.524	0.226
173	還有錢	5.778	5.010	0.705	0.749
749	略輸	3.844	3.970	0.324	0.793
42	好可怕	3.000	7.000	0.0	0.0
627	稍慢	4.000	2.375	0.0	0.484
569	太愛	8.889	6.500	0.314	0.5
1753	可能沒有足夠	4.111	3.813	0.515	0.658
1939	沒對	3.417	4.571	0.449	0.446
593	很煩	2.444	6.400	0.497	0.49
250	略微放鬆	6.222	1.600	0.607	0.415
1427	應該相信	6.000	4.786	0.577	0.247
2221	沒有更糟糕	4.250	4.929	0.382	0.319
1356	更不能濫用	4.883	6.500	0.932	0.433
856	最為嚴峻	2.222	7.967	0.199	0.501
1054	最不能相信	2.750	6.571	0.661	0.495
1417	應該怪	4.000	5.000	0.5	0.707
1938	沒有違法	5.256	5.286	0.624	0.7
1544	可能還希望	6.550	5.857	1.036	0.44
2000	不能更好	6.929	6.357	0.904	0.58
1716	可能最嚴重	2.533	7.344	0.51	0.627
1200	有點不開心	4.000	5.357	0.0	0.693
1411	本來決定	4.678	5.443	0.485	0.42
493	更為棘手	2.489	7.188	0.381	0.237
1951	沒有衝突	6.063	5.300	0.682	0.748
35	特別支持	7.550	6.722	0.415	0.498
1450	也許幹	4.000	5.900	0.707	0.49
406	較強烈	4.733	7.711	0.408	0.472
809	最為豐富	7.200	6.313	0.9	0.704
1580	可能比較缺乏	3.244	4.933	0.409	0.859
1291	更加不樂觀	3.111	6.444	0.737	0.685
1606	應該蠻清楚	6.000	3.813	0.667	0.496
1588	應該更高興	7.111	6.500	0.737	0.75
956	超級不自在	2.667	6.714	0.471	0.452
1153	更不喜歡	2.722	5.813	0.533	0.609
1128	更不爽	3.000	6.778	0.0	0.629
1478	也許錯誤	3.929	5.438	0.175	0.583
1302	完全沒有衝突	6.000	5.667	0.707	1.247
1201	非常不開心	2.667	7.167	0.471	1.155
1917	沒爽	3.875	5.750	0.415	0.382
348	無比振奮	7.833	8.222	0.373	0.671
229	無比幸福	8.422	4.525	0.385	0.438
197	十分壯觀	7.722	7.188	0.671	0.242
2160	沒有完全誠實	3.625	4.722	0.484	0.629
2242	沒比較爛	4.714	5.063	0.749	0.682
2230	沒特別關心	4.688	4.500	0.609	0.447
1229	極度不想	2.838	6.333	0.331	0.687
883	最為驚人	5.129	8.338	1.22	0.387
2183	不特別漂亮	4.650	5.571	0.667	0.495
2108	沒有非常清楚	4.267	4.713	0.389	0.603
914	比較不好	4.000	4.313	0.0	0.747
563	極度想	6.000	6.250	0.743	1.061
923	稍微不好	4.000	4.556	0.0	0.497
1754	應該沒有足夠	4.256	3.867	0.291	0.575
313	太差	2.500	5.429	0.5	0.495
731	格外激動	4.333	8.133	0.776	0.653
1429	可能面臨	4.822	4.500	0.315	0.661
274	超後悔	2.000	6.000	0.0	0.816
1587	本來很高興	5.271	5.529	0.52	0.69
1761	應該沒朋友	3.889	4.000	0.314	0.775
1722	可能很爛	3.375	4.889	0.415	0.698
1131	很不爽	1.625	7.250	0.484	0.433
2091	沒有更強	4.770	5.456	0.87	0.636
660	格外認真	7.767	6.250	0.488	0.412
2186	沒有很漂亮	4.450	4.500	0.48	0.608
1850	沒有正面	4.444	4.875	0.497	0.781
745	超級興奮	8.063	8.144	0.165	0.211
1998	不特別好	4.238	5.225	0.474	0.487
351	無比真實	7.313	5.417	0.609	0.607
492	最棒	8.375	6.500	0.484	0.5
1856	不安全	3.444	5.000	0.497	0.876
680	相當樂觀	7.875	6.550	0.415	0.472
297	越苦	2.188	5.714	0.348	0.525
242	有點怪	3.475	4.338	0.349	0.583
1624	可能更喜歡	7.075	6.444	0.268	0.497
1169	相當不尊重	2.444	6.444	0.497	0.497
1299	還沒確定	4.500	4.750	0.5	0.433
1858	沒成功	3.500	5.000	0.527	0.632
447	還爽	7.400	7.300	0.308	0.235
132	最好笑	7.400	7.500	0.49	0.5
424	較為敏感	3.888	5.238	0.411	0.32
1198	蠻不舒服	3.389	5.000	0.458	0.667
2039	沒完全把握	4.611	4.611	0.614	0.906
1919	不喜歡	3.033	5.788	0.481	0.605
157	更有效	7.000	6.000	0.0	0.0
1471	可能擔心	4.111	5.500	0.458	0.667
916	更不好	3.400	5.750	0.49	0.661
222	老垃圾	2.025	7.650	0.043	0.409
1362	更不願	3.500	5.786	0.447	0.525
1645	可能稍嫌	3.857	5.417	0.226	0.607
1392	可能正	5.750	4.286	0.25	0.364
2172	沒有更慘	3.933	4.256	0.78	0.768
471	挺喜歡	7.367	5.689	0.589	0.491
1553	應該比較怕	3.813	5.900	0.428	0.735
2163	不太對	4.189	5.000	0.273	0.408
657	異常緊繃	2.611	7.813	0.843	0.428
272	超帥	7.667	6.889	0.471	0.567
1532	可能更有趣	6.833	5.944	0.631	0.437
958	太沒自信	3.000	5.778	0.0	0.786
296	更加美好	7.656	6.556	0.211	0.347
1907	沒差	4.625	4.000	0.331	0.559
1670	應該很愛	7.188	5.500	1.368	0.408
2054	沒有特別帥	5.313	4.500	0.496	0.527
1365	還不願	3.938	5.333	0.165	0.816
1774	應該不討厭	5.444	4.857	0.437	0.226
105	比較好	6.667	5.333	0.471	0.667
1078	尤其不能容忍	2.500	6.625	0.5	0.857
460	超級麻煩	2.278	6.500	0.533	0.707
1769	可能沒差	5.000	3.500	0.0	0.577
2238	沒更嚴重	4.444	5.375	0.797	0.74
338	有點恐怖	3.014	7.080	0.879	0.811
1150	尤其不喜歡	3.350	5.857	0.45	0.639
540	更為順利	7.356	5.920	0.568	0.779
703	尤其適合	6.944	4.350	0.462	0.979
1718	可能還贏	7.111	6.889	0.737	0.843
2033	不能完全否認	4.813	5.250	0.658	0.559
1055	還不相信	4.071	4.889	0.175	0.737
352	完全缺乏	2.556	5.667	0.497	0.471
2106	不很清楚	3.688	4.000	0.428	0.782
1045	比較不恰當	4.000	4.375	0.0	0.484
1866	沒自信	3.250	5.778	0.354	0.749
1320	超沒魄力	3.111	6.250	0.737	0.968
1284	較不滿意	4.000	4.625	0.0	0.484
1743	應該不死	5.350	4.833	0.594	0.745
538	蠻開心	7.389	6.550	0.623	0.518
2070	沒有更差	4.286	4.813	0.525	0.864
2125	沒有特別喜歡	4.786	4.556	0.364	0.55
1640	應該很開心	6.422	6.750	0.531	0.49
1799	本來不愛	6.000	5.038	0.115	0.812
1911	不能強迫	4.778	5.500	0.671	0.707
1359	越不關心	3.333	5.875	0.408	1.139
766	格外尷尬	2.533	6.138	0.323	0.636
147	相當成功	8.778	7.400	0.416	0.49
1815	應該不對	4.000	4.500	0.0	0.5
120	愈好	7.470	6.250	0.372	0.173
1710	本來很醜	3.943	4.322	0.761	0.621
1507	可能很好	6.356	4.833	0.574	0.667
1882	沒有拒絕	5.722	4.813	0.82	0.496
963	很沒有自信	3.000	6.000	0.0	0.756
1695	應該很適合	5.950	4.189	0.324	0.772
1441	可能喪失	3.611	4.820	0.513	0.733
1081	最不能容忍	2.500	7.000	0.577	0.756
1426	本來相信	5.460	4.750	0.589	0.661
918	怪不好	3.400	5.444	0.49	0.497
646	太緊張	2.844	7.250	0.833	0.653
1220	更沒有想	4.643	5.000	0.639	0.548
1563	本來有點後悔	4.722	4.357	0.671	0.915
1954	不擔心	5.857	4.688	0.515	0.556
764	十分尷尬	2.789	5.788	0.242	0.459
917	更加不好	3.000	6.125	0.333	0.484
2062	沒有更值得	4.133	5.586	0.394	0.479
2089	沒有太強	4.778	4.778	0.629	0.583
905	比較不丟臉	4.875	4.625	0.927	0.484
590	異常溫暖	7.120	5.271	0.578	0.547
1506	可能比較好	6.375	4.875	0.65	0.331
774	更糟糕	3.000	6.000	0.0	0.0
1260	完全不能解決	2.556	6.000	0.497	0.756
2076	沒特別差	4.750	4.286	0.612	0.452
6	怪小偷	2.900	5.100	1.114	0.1
614	挺慘	1.878	6.114	0.187	0.259
661	稍稍認真	6.000	4.667	0.0	0.667
407	較為強烈	3.714	7.500	0.647	0.816
160	最為有效	7.813	6.389	0.242	0.458
1490	本來很反對	4.600	4.633	0.476	0.453
833	比較嚴重	3.375	7.200	0.484	0.872
737	最為積極	7.913	7.800	0.169	0.18
2176	沒比較慢	5.071	3.833	0.175	0.898
746	格外諷刺	2.125	7.267	0.13	0.514
549	超級幹	0.922	8.644	0.162	0.506
307	非常值得	7.222	7.000	0.416	0.775
1648	可能太想	5.311	4.944	0.431	0.685
1734	應該沒有打	4.960	4.140	0.637	0.799
350	完全消滅	2.388	7.363	0.385	0.671
962	很沒自信	3.000	5.875	0.0	0.599
821	特別關心	7.333	7.220	0.414	0.527
479	異常悲憤	1.500	8.444	0.624	0.497
1702	本來很擔心	4.833	5.563	0.553	0.464
204	尤其希望	7.988	6.325	0.257	0.424
446	愈爽	7.513	7.750	0.451	0.283
131	挺好笑	6.700	6.822	0.457	0.512
1300	還沒有確定	4.611	4.000	0.458	0.0
567	更想	5.667	4.250	0.471	0.433
2152	沒很愛	3.917	5.250	0.186	0.901
631	十分滿意	8.056	7.167	0.283	0.577
1375	比較不爛	4.429	5.563	0.562	0.583
1021	完全沒朋友	2.722	6.000	0.533	0.5
205	更希望	7.889	6.000	0.314	0.0
89	極為正面	7.478	5.133	0.391	0.415
1330	較沒興趣	4.000	5.000	0.333	0.535
2151	沒有特別愛	6.143	4.688	0.693	0.658
419	最為敏感	3.556	5.413	0.479	0.443
615	越慘	2.188	5.417	0.276	0.449
943	越不安全	3.611	5.563	0.458	0.464
768	略微尷尬	3.450	4.300	0.712	0.604
754	非常遺憾	1.600	6.100	0.49	0.831
1489	可能最不利	2.556	6.438	0.55	0.527
1881	不能怪	5.233	4.529	0.677	0.381
1338	更沒有錯	5.438	6.278	0.682	0.533
1757	應該不能怪	4.517	4.613	0.549	0.42
600	萬分羨慕	7.000	6.867	0.624	0.842
56	比較可愛	6.944	6.000	0.762	0.667
601	完全解決	7.333	5.333	0.471	0.471
1618	可能更累	3.188	5.178	0.569	0.751
1494	應該更可怕	2.375	6.944	0.415	0.55
1591	可能比較強	6.313	5.167	0.496	0.471
865	極為嚴格	2.622	7.938	1.263	0.187
937	更不安全	3.000	6.000	0.0	0.667
1279	有點不滿意	4.000	5.000	0.0	0.0
256	無比欣慰	7.570	5.340	0.443	0.356
1762	應該沒有朋友	4.000	4.000	0.0	0.816
1217	完全沒有想	4.588	4.289	0.437	0.731
367	超討厭	1.467	7.833	0.316	0.183
1083	比較沒有差	4.750	4.214	0.5	0.452
1571	應該蠻值得	6.643	5.513	0.385	0.597
558	稍稍想	5.100	3.078	0.166	0.498
1026	太沒知識	3.375	5.214	0.415	0.589
852	相當嚴重	2.444	8.000	0.497	0.0
2148	不特別愛	3.944	4.929	0.685	0.562
70	完全失控	2.000	8.000	1.225	0.745
504	挺無聊	3.500	3.833	0.742	0.816
1106	更沒有強姦	4.275	8.650	1.314	0.206
454	極度貧窮	1.444	6.671	0.406	0.995
1895	沒有勇氣	3.667	4.944	0.527	0.831
765	有點尷尬	3.600	4.286	0.49	0.452
709	特別適合	6.400	5.125	0.49	0.599
1669	應該非常愛	8.050	6.389	0.723	0.698
1978	不能怪小偷	4.500	5.500	0.316	0.632
366	最討厭	1.600	8.000	0.49	0.0
1107	完全不能控制	3.050	6.556	0.723	0.497
699	稍微緩和	5.938	3.957	0.312	0.939
1973	沒贏	4.375	5.043	0.484	0.531
1259	更沒煩惱	5.586	6.144	0.416	0.821
847	極為嚴重	1.667	8.150	0.4	0.265
1446	本來答應	4.875	4.025	0.179	0.745
2095	沒有最強	4.571	4.844	0.495	0.826
1861	不能死	4.800	6.950	1.03	0.786
438	更爽	8.000	8.000	0.0	0.0
2166	沒有特別對	4.657	4.225	0.604	0.821
921	特別不好	2.556	6.286	0.497	0.881
1416	本來怕	4.750	5.125	0.791	0.331
2211	不能太隨便	4.729	5.814	0.357	0.638
12	略不足	4.244	3.478	0.365	0.452
217	無比沉重	2.143	6.833	0.226	0.913
1653	本來有點想	4.533	3.363	0.386	0.447
1039	較沒信心	3.750	5.286	0.433	0.452
1310	非常不適合	2.611	6.143	0.567	0.639
568	愈想	5.733	3.900	0.501	0.587
463	太喜歡	8.000	6.444	0.0	0.497
270	蠻帥	7.250	6.063	0.354	0.634
1006	最不怕	5.563	6.056	0.768	0.762
1172	超級不尊重	2.556	7.000	0.685	0.667
2141	沒有很想	4.678	3.571	0.418	0.696
210	略微改善	6.222	5.400	0.355	0.71
286	尤其珍貴	7.600	6.325	0.397	0.691
1412	應該足夠	5.250	3.813	0.354	0.747
952	還沒有死	4.833	5.111	1.546	0.875
1443	應該尊重	5.856	4.944	0.435	0.598
1355	最沒有幫助	2.978	6.417	0.59	0.449
1364	較不願	4.000	5.000	0.0	0.866
1827	可能沒有錯	5.444	4.000	0.831	0.775
1523	可能還安全	5.438	4.278	0.527	0.416
1155	怪不喜歡	3.000	6.250	0.5	0.433
291	極其珍貴	8.460	6.763	0.388	0.738
1099	很沒有效率	3.389	5.563	0.458	0.464
1448	應該開心	5.986	5.350	0.242	0.456
357	老臭	2.600	5.500	0.428	0.354
951	還沒死	4.944	5.444	1.117	0.685
1258	還不感謝	4.625	6.000	0.65	0.0
1926	沒有想	4.644	3.400	0.46	0.462
1751	應該沒忘記	5.500	4.278	0.5	0.416
283	更加珍惜	7.467	6.400	0.374	0.49
936	比較沒有安全	4.338	4.600	0.517	0.564
1539	應該非常有錢	6.575	6.278	0.494	0.621
1952	不能質疑	5.500	5.571	1.049	0.678
1671	應該超愛	8.133	6.417	0.591	0.449
179	萬分自責	2.200	6.913	0.343	0.337
1423	應該保護	5.857	5.750	0.515	0.707
742	格外興奮	8.267	7.944	0.316	0.295
2123	不特別喜歡	4.071	5.333	0.863	0.667
223	怪垃圾	2.000	7.850	0.0	0.335
115	稍好	6.278	4.411	0.394	0.491
1057	比較沒有負擔	5.389	3.778	0.737	0.416
1072	比較不值錢	4.000	5.000	0.0	0.775
755	相當遺憾	1.556	5.667	0.497	0.667
410	極度排斥	1.833	7.833	0.577	0.707
1797	應該沒有想	4.933	3.386	0.149	0.528
922	最不好	2.688	6.571	0.556	0.495
1431	本來害怕	4.167	5.000	0.373	0.433
1931	沒罪	5.500	4.625	0.471	0.524
1247	超不愛	2.500	7.125	0.5	0.599
806	更加豐富	7.189	5.975	0.491	0.432
2102	不好控制	3.633	5.550	0.452	0.456
1010	蠻不怕	5.317	5.050	0.524	0.931
486	極度惡劣	1.333	8.222	0.408	0.533
534	格外開心	8.056	7.188	0.55	0.242
548	稍嫌	3.744	4.633	0.455	0.631
1170	最不尊重	2.750	6.929	0.354	0.495
315	更差	2.667	5.250	0.471	0.433
379	異常堅強	7.643	7.125	0.35	0.415
1796	應該沒想	4.611	3.850	0.458	0.461
602	挺誠實	7.500	5.250	0.415	0.809
227	蠻奇怪	3.470	6.167	1.053	0.163
133	超好笑	7.289	7.178	0.269	0.358
2087	不能很強	4.000	6.000	0.667	0.0
487	極為惡劣	1.611	7.175	0.423	0.733
2006	沒有完全好	4.613	4.225	0.42	0.393
62	蠻可愛	7.571	6.563	0.495	0.634
710	最適合	6.250	4.444	0.433	0.497
930	還沒有好	4.000	4.714	0.0	0.452
1925	沒想	4.638	3.638	0.412	0.412
2217	沒特別優惠	4.125	4.833	0.415	0.471
212	稍微改善	6.250	5.475	0.541	0.402
485	極其惡劣	1.700	7.950	0.224	0.283
2052	沒有比較帥	4.189	4.363	0.697	0.543
818	尤其關心	7.888	7.114	0.326	0.203
261	還玩	4.457	6.333	0.484	0.373
892	更沒有心情	3.363	5.000	0.458	0.849
1370	較不願意	4.000	4.400	0.0	0.49
1343	比較沒有優勢	3.667	5.286	0.471	0.7
1321	太不積極	3.500	6.222	0.5	0.786
1785	本來不喜歡	4.700	5.389	0.9	0.567
295	更美好	7.444	6.222	0.497	0.416
384	有點強	5.988	4.689	0.203	0.681
1053	更不相信	3.278	5.875	0.416	0.331
1415	也許怕	3.833	5.375	0.624	0.415
1101	完全沒有貢獻	2.789	5.778	0.778	0.583
2188	沒太認真	4.125	4.125	0.415	0.82
899	更不能打	5.063	6.450	0.768	1.011
1688	也許更適合	5.867	4.211	0.457	0.919
991	極度不快樂	2.057	7.614	0.199	0.815
1381	可能不利	3.580	5.538	0.477	0.472
839	挺嚴重	2.610	7.678	0.499	0.471
949	還不死	1.833	5.500	0.85	0.5
1726	應該沒八卦	5.263	3.750	0.427	0.661
1009	較不怕	4.950	4.500	0.789	0.471
508	蠻無聊	3.333	4.000	0.471	0.0
2220	沒有太糟糕	4.575	4.688	0.676	0.556
512	超痛	2.000	7.500	0.0	0.5
783	無比艱辛	2.156	7.022	0.267	0.621
1457	應該禁止	3.625	5.389	0.65	0.657
1833	也許不願	4.000	3.750	0.0	0.512
