No.	Phrase	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
1900	不能苦	5.120	5.150	0.343	0.753
997	還沒決定	4.400	4.929	0.49	0.175
401	異常強烈	4.100	8.350	0.827	0.229
1560	應該還勉強	4.333	4.363	0.622	0.412
702	太適合	6.000	4.778	0.0	0.629
194	尤其吸引	6.478	6.857	0.399	0.337
1980	不特別支持	4.286	3.944	0.647	0.55
827	相當難過	2.375	6.222	0.484	0.416
2023	沒完全成功	4.700	5.400	0.884	0.755
1529	可能更有效	6.600	5.371	0.501	0.446
1197	極度不舒服	2.333	6.929	0.471	0.776
1401	可能死	2.438	4.500	0.464	0.5
1094	更沒有效率	3.333	5.625	0.333	0.507
146	非常成功	9.000	7.500	0.0	0.5
1594	本來很強	4.917	5.125	0.731	0.545
861	最為嚴格	3.111	6.950	0.698	0.65
1001	最不能忽略	5.286	5.125	0.7	0.781
2202	不太適合	4.083	4.250	0.344	0.25
2245	沒有最爛	4.144	4.850	0.483	0.555
2017	沒有很好笑	4.214	5.056	0.364	0.724
1304	還不能質疑	4.214	6.000	0.589	0.782
1585	本來很討厭	4.280	5.343	0.319	0.42
884	極為驚人	4.150	7.750	0.848	0.522
386	特別強	7.375	6.625	0.484	0.484
1301	完全不衝突	5.875	5.167	0.781	0.687
2069	沒有比較差	5.178	4.788	0.707	0.341
383	比較強	6.600	5.625	0.49	0.484
241	還怕	2.944	6.875	0.643	0.415
316	非常差	2.375	5.889	0.484	0.567
1352	完全沒有幫助	3.000	5.500	0.0	0.5
124	挺好玩	7.000	5.744	0.408	0.581
405	極為強烈	5.125	8.688	0.217	0.428
1271	有點沒有對	4.357	4.500	0.226	0.559
996	還不能決定	4.378	5.111	0.444	0.737
1091	比較沒效率	4.000	4.000	0.0	0.816
2107	沒有太清楚	4.289	3.589	0.26	0.647
2131	不很舒服	3.722	5.313	0.583	0.788
2237	沒有很嚴重	4.667	5.278	0.782	0.629
1714	可能更嚴重	2.638	7.513	0.4	0.465
873	超爛	1.600	7.000	0.49	0.775
2142	沒有特別想	4.778	3.700	0.629	0.6
1644	可能有點傷	3.638	4.600	0.328	0.462
1615	可能太累	3.250	4.750	0.612	0.559
395	還強	6.778	6.056	0.853	0.497
1086	最沒有差	5.071	3.900	0.623	0.663
294	還相信	7.438	5.813	0.39	0.496
2109	沒有很清楚	4.222	4.250	0.629	0.935
1992	不能太用力	4.756	5.225	0.409	0.968
1990	沒很正	4.200	4.357	0.224	0.512
412	稍稍控制	4.513	3.967	0.355	0.69
1538	可能還有錢	5.313	4.389	0.426	0.574
1334	還沒輸	5.688	5.300	0.609	0.872
119	越好	7.267	5.378	0.226	0.563
1069	完全不值得	2.667	6.833	0.471	0.943
1148	蠻不理想	3.500	5.000	0.5	0.866
1318	非常不適當	2.667	6.214	0.471	0.749
1341	最不能錯過	5.850	6.750	1.001	0.433
1941	沒有對	4.333	4.725	0.672	0.421
31	極度不適	2.433	6.000	0.535	1.418
587	超級感謝	8.011	7.143	0.031	0.35
2113	沒有很爽	4.414	4.933	0.416	0.604
355	較為缺乏	2.763	4.370	0.308	1.017
303	極為重大	4.300	7.867	0.598	0.537
2096	沒非常強	4.250	4.875	0.791	0.217
244	很怪	2.600	5.444	0.49	0.497
76	極度失望	1.630	7.244	0.424	0.347
980	尤其不能忘記	5.250	6.111	0.433	0.567
219	稍佳	6.038	3.778	0.158	0.585
2126	沒很喜歡	4.750	4.778	0.661	0.786
184	略冷	3.938	4.286	0.39	0.452
97	超級丟臉	2.088	6.811	0.322	0.832
1145	非常不理想	2.333	6.833	0.471	0.816
2002	沒太好	4.150	4.525	0.925	0.526
995	還沒改善	4.000	5.056	0.0	0.598
1374	還不能贏	4.333	5.857	0.471	0.639
2090	沒有比較強	4.300	4.411	0.406	0.593
1590	應該很高興	6.811	6.644	0.621	0.46
1396	應該好	5.875	4.929	0.415	0.175
888	更加靈活	7.389	5.714	0.695	0.876
1315	蠻不適合	3.500	4.900	0.5	0.831
1527	應該蠻安全	6.389	4.722	0.737	0.671
1251	很沒有愛	2.778	6.000	0.786	0.816
652	略微緊張	3.544	6.833	0.486	0.735
1515	應該很好	6.857	5.500	0.44	0.667
984	最不能忘記	5.378	6.300	0.485	0.622
289	最為珍貴	7.943	5.767	0.302	0.763
514	越痛	2.175	6.788	0.307	0.232
2182	沒有很滿意	3.871	5.167	0.707	0.39
1562	可能很帥	6.556	5.688	0.643	0.348
1036	很沒有信心	3.056	5.625	0.157	0.484
1609	應該更爽	6.513	7.744	0.468	0.445
2092	沒有非常強	4.786	4.944	0.525	0.724
904	完全沒有正面	3.889	5.267	0.75	0.8
1656	本來超想	4.800	4.250	0.289	0.559
1407	也許忘記	4.500	4.583	0.25	0.786
773	略濫用	3.929	4.786	0.678	0.589
1037	最沒信心	2.556	6.125	0.497	0.781
1312	最不適合	3.071	5.571	0.175	0.904
897	太不可靠	2.722	6.333	0.533	0.667
1694	應該非常適合	6.438	4.722	0.464	0.629
1589	應該非常高興	7.563	7.313	0.39	0.609
1733	應該沒打	5.063	5.143	0.464	0.226
503	很無聊	2.600	4.333	0.49	0.471
448	蠻爽	7.556	7.556	0.497	0.497
624	特別慢	2.880	4.057	0.635	0.489
1452	可能想	4.889	3.444	0.208	0.685
510	萬分焦慮	1.857	8.222	0.226	0.478
1668	可能很愛	6.500	4.875	0.447	0.901
1500	應該很正	6.813	5.688	0.658	0.428
1760	可能沒有朋友	3.667	4.550	0.408	1.036
941	最不安全	2.500	6.000	0.5	0.707
2218	不能太糟	4.083	5.444	0.534	0.797
966	較沒自信	4.000	4.000	0.0	0.667
1120	越不清楚	4.125	5.071	0.331	0.776
712	較適合	5.444	3.889	0.497	0.737
1434	可能破壞	3.538	6.078	0.472	0.784
1482	應該關心	5.833	5.563	0.236	0.39
828	萬分難過	2.025	7.000	0.13	0.552
532	很開心	8.000	7.000	0.0	0.0
57	好可愛	8.000	7.000	0.0	0.0
69	超可憐	2.560	6.413	0.395	0.655
230	完全忽略	2.250	4.750	0.433	0.829
1007	越不怕	6.917	6.500	0.344	0.802
2082	沒有非常討厭	4.167	5.500	0.527	0.559
729	非常擔心	2.189	7.550	0.166	0.187
60	挺可愛	7.422	6.278	0.503	0.447
939	很不安全	2.833	5.556	0.471	0.831
1275	稍微不對	4.050	4.363	0.132	0.412
2055	沒很帥	4.350	4.622	0.477	0.514
1442	本該尊重	5.063	5.500	0.634	0.378
910	更沒有多餘	4.133	5.600	0.907	0.49
2248	沒太驚訝	4.963	5.975	0.07	0.438
2083	不很高興	4.000	5.710	0.775	0.893
695	越窮	2.740	5.038	0.533	0.472
1034	更沒有信心	3.556	6.143	0.437	0.833
1790	可能沒想	4.889	3.813	0.208	0.933
835	更加嚴重	2.444	8.000	0.497	0.0
586	非常感謝	8.000	6.667	0.0	0.471
1962	沒錯	5.650	5.125	0.421	0.263
1860	不死	6.111	5.833	0.698	0.624
1784	應該不喜歡	4.000	4.150	0.0	0.838
2051	沒比較帥	4.467	4.450	0.525	1.093
1646	應該很幹	2.375	7.200	0.96	0.51
305	尤其值得	7.222	6.378	0.29	0.444
167	很有錢	7.222	6.222	0.416	0.416
1337	更沒錯	6.167	6.389	0.745	0.698
1786	應該不能亂	4.438	4.500	0.39	0.75
2112	沒有比較爽	4.538	5.350	0.485	0.507
128	比較好笑	6.944	6.844	0.279	0.558
1497	可能比較正	6.333	4.611	0.624	0.698
1914	沒救	2.688	6.278	0.428	0.583
1829	應該沒有錯	5.778	4.389	0.416	0.458
39	最為出色	8.056	6.288	0.593	0.352
1096	最沒有效率	3.056	5.714	0.497	0.881
1667	可能比較愛	7.143	5.688	1.093	0.428
1163	最不喜歡	2.375	6.286	0.484	0.881
158	更為有效	7.389	6.286	0.393	0.247
1608	應該比較爽	7.125	7.250	0.82	0.661
554	挺想	5.563	5.222	0.527	0.885
1924	不能想	4.375	5.286	0.545	0.364
1027	很沒知識	3.389	4.714	0.567	0.7
122	蠻好	6.933	5.086	0.558	0.304
215	格外沉重	2.540	6.413	0.418	0.392
470	很喜歡	8.000	6.444	0.0	0.497
1892	沒信心	3.363	5.189	0.387	0.486
893	太不可愛	3.643	6.000	0.58	0.707
2026	沒很有錢	4.250	4.625	0.354	0.415
1161	愈不喜歡	3.000	5.286	0.0	0.452
1682	應該非常精彩	8.000	7.813	0.0	0.556
317	特別差	2.522	6.171	0.498	0.822
292	極為珍貴	8.022	5.656	0.625	0.506
868	太爛	2.138	6.756	0.212	0.222
1	更加小心	5.111	7.188	0.875	0.242
169	稍微有錢	6.256	5.463	0.527	0.596
337	好恐怖	2.333	7.000	0.471	0.0
700	較為緩和	5.667	3.267	0.519	0.464
1597	應該很強	6.422	5.700	0.494	0.532
1004	完全不怕	6.000	5.778	0.0	0.916
1056	比較沒負擔	4.611	3.929	0.809	0.175
541	異常順利	7.078	6.400	0.666	0.648
616	還慘	2.500	5.825	0.384	0.421
1110	較不敏感	5.278	3.625	0.533	0.484
2210	沒有非常興奮	5.100	4.650	0.508	0.676
168	最有錢	6.913	6.438	0.462	0.529
44	更可怕	3.000	7.000	0.0	0.0
1711	應該更謹慎	5.438	5.500	0.682	0.782
1928	沒有感情	3.500	4.875	0.745	0.599
673	超噁	1.500	7.444	0.5	0.497
2164	不完全對	4.056	4.683	0.921	0.549
516	極度痛苦	1.488	8.270	0.127	0.613
1934	沒有解決	3.650	5.214	0.45	0.525
584	十分感謝	7.533	6.467	0.508	0.386
2047	不能完全怪	4.188	4.250	0.242	0.5
363	稍稍衰退	4.250	3.929	0.25	0.562
436	較清楚	5.667	3.333	0.471	0.471
1270	有點不對	4.000	4.056	0.0	0.831
933	完全沒有好處	2.625	5.667	0.484	0.816
47	挺可怕	2.590	7.378	0.291	0.239
344	蠻恐怖	2.311	7.356	0.39	0.521
1999	不能太好	4.150	5.125	0.328	0.836
889	更為靈活	7.143	5.467	0.226	0.533
421	極度敏感	3.638	5.725	0.492	0.558
1692	應該比較適合	5.463	3.744	0.324	0.596
123	比較好玩	6.338	5.800	0.485	0.432
228	無比幸運	8.133	6.788	0.566	0.673
664	比較輕鬆	6.000	2.375	0.0	0.484
1221	怪不想	4.083	5.417	0.186	0.449
1269	比較沒有對	3.929	5.083	0.821	0.607
1440	本來喜歡	4.813	5.000	0.827	0.236
1887	沒朋友	3.056	4.500	0.497	0.802
2099	沒有太強烈	4.889	5.457	0.208	0.475
1032	完全沒有信心	3.000	6.222	0.0	0.786
2179	不完全滿意	4.525	4.938	0.585	0.634
1250	較不愛	3.722	5.222	0.671	0.885
547	略嫌	3.688	4.750	0.44	0.612
944	蠻不安全	3.778	5.667	0.478	0.527
324	愈差	2.738	4.750	0.255	0.456
594	超煩	2.000	6.625	0.0	0.484
1074	完全不能原諒	2.500	7.000	0.5	0.667
425	十分清楚	6.143	4.857	0.35	0.639
1460	可能遇到	5.025	3.444	0.066	0.531
1060	最沒有負擔	6.500	5.333	0.75	0.553
465	比較喜歡	6.700	5.000	0.9	0.707
1023	更沒朋友	3.443	5.056	0.392	0.896
1584	可能很討厭	2.275	6.500	0.424	0.467
1687	也許比較適合	5.522	3.500	0.509	0.463
1166	完全不尊重	2.556	7.000	0.497	0.866
1836	應該不願	3.938	4.444	0.3	0.437
1964	沒壓力	6.500	4.143	0.745	0.99
2103	不能完全控制	4.063	5.722	0.583	0.749
177	更為自由	6.822	5.950	0.397	0.132
2209	沒有太興奮	5.389	5.056	0.698	0.598
1469	可能衝擊	3.875	6.313	0.484	0.348
191	異常冷淡	2.300	4.100	0.457	0.622
1017	還沒放棄	6.333	5.125	0.471	0.331
564	還想	5.057	4.071	0.14	0.678
2016	沒較好	4.033	4.725	0.075	0.466
1752	應該沒有忘記	5.250	4.278	0.433	0.416
1439	可能喜歡	6.078	4.644	0.162	0.504
1052	完全不能相信	3.167	6.625	0.471	0.484
22	完全不符	2.400	5.286	0.49	0.452
1888	沒有朋友	3.200	4.100	0.233	0.755
691	相當熱鬧	7.000	7.000	0.0	0.0
214	更為沉重	2.260	7.022	0.242	0.397
535	特別開心	8.214	7.438	0.247	0.39
66	怪可憐	2.678	5.400	0.612	0.68
8	相當不利	2.500	6.444	0.5	0.497
981	更不能忘記	4.778	5.500	0.916	0.5
1574	可能比較差	3.611	4.750	0.458	0.829
523	蠻舒服	7.000	3.600	0.0	0.49
1485	可能贏	6.111	6.167	0.314	0.527
1555	應該超怕	2.611	7.000	0.567	0.624
2229	不特別關心	4.125	4.575	0.217	0.593
181	太冷	3.000	5.333	0.0	0.471
342	最恐怖	1.625	7.556	0.484	0.497
573	更愛	8.889	6.333	0.314	0.471
1612	應該最爽	7.722	7.722	0.478	0.533
1065	更沒有風險	5.500	5.750	0.707	1.146
209	略改善	5.813	4.500	0.242	0.408
154	最為有利	7.463	6.420	0.466	1.055
1723	本來很爛	3.360	5.825	0.625	0.769
1819	可能沒興趣	4.111	4.222	0.567	0.916
2167	不更慘	4.200	5.200	0.748	0.748
52	挺可悲	2.650	6.125	0.923	0.65
1121	較不清楚	4.000	3.667	0.0	0.816
1916	不爽	3.063	7.175	0.165	0.205
1311	很不適合	2.375	5.750	0.484	0.661
1845	沒有支持	3.778	4.550	0.681	0.466
2116	不太理想	4.043	4.843	0.354	0.25
1652	本來好想	4.944	4.583	0.55	0.449
318	略差	3.889	4.900	0.314	0.2
1360	較不關心	4.000	4.643	0.0	0.693
1955	沒興趣	4.267	4.238	0.668	1.107
1896	不帥	3.986	4.786	0.217	0.525
257	萬分欣慰	7.800	6.160	0.508	0.206
824	極為關心	7.250	7.563	0.354	0.464
2222	不特別聰明	5.000	4.286	0.667	0.364
1089	太沒效率	2.750	6.188	0.512	0.704
1458	可能解決	5.700	4.488	0.235	0.488
1533	應該挺有趣	6.733	5.286	0.323	0.587
183	有點冷	3.333	4.375	0.471	0.484
1385	可能支持	6.167	5.100	0.577	0.995
1389	可能失去	3.889	5.222	0.208	0.629
1583	應該很討厭	2.643	6.813	0.693	0.496
1749	可能沒希望	3.425	5.250	0.39	0.829
982	更沒忘記	5.513	5.550	0.537	0.678
2080	沒有完全消滅	4.083	5.167	0.186	0.408
68	挺可憐	2.844	6.075	0.279	0.171
524	超級舒服	7.522	5.450	0.385	0.791
84	最正	7.400	6.000	0.49	0.0
24	尤其不滿	2.167	7.422	0.211	0.466
1227	越不想	3.989	4.111	0.679	0.698
0	怪八卦	3.450	4.383	0.423	0.579
1510	可能還好	5.143	4.563	0.58	0.464
2007	沒有更好	4.700	5.363	0.616	0.543
697	稍緩和	5.688	3.375	0.609	0.415
1016	還不能放棄	5.514	6.438	0.601	0.464
597	稍稍羨慕	5.188	5.688	0.348	0.428
705	更適合	6.000	4.714	0.0	0.7
748	最為踴躍	7.911	7.922	0.472	0.187
1455	也許愛	6.500	4.650	0.624	0.517
200	更完善	7.000	5.375	0.0	0.484
1988	不好打	4.500	5.875	0.408	0.893
1677	應該最慘	2.563	5.750	1.13	0.5
1436	應該清楚	5.222	3.722	0.478	0.82
1213	尤其不想	3.714	4.929	0.647	0.623
2194	沒有最噁心	3.329	6.460	0.69	0.571
1655	本來最想	4.633	5.311	0.467	0.923
1243	很沒愛	3.329	5.517	0.709	0.71
1891	沒玩	4.544	4.650	0.417	0.563
1546	應該比較希望	6.000	5.333	0.378	0.471
299	更為重大	4.600	7.525	0.447	0.331
1550	可能最怕	2.143	6.750	0.226	0.5
869	更爛	2.000	6.000	0.0	0.0
98	太兇	2.556	8.000	0.497	0.0
18	稍微不足	4.522	4.233	0.215	0.542
1340	尤其不能錯過	6.125	6.000	0.599	0.471
1763	可能沒玩	4.600	4.567	0.432	0.571
364	非常討厭	2.000	7.667	0.0	0.471
153	最有利	7.000	6.667	0.816	0.471
431	很清楚	5.778	4.333	0.416	0.471
752	還輸	2.444	4.556	0.497	0.497
