No.	Phrase	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
1802	應該沒經歷	4.575	4.386	0.463	0.815
326	還差	2.957	5.075	0.226	0.156
580	超級愛	8.650	6.313	0.43	0.509
795	異常嚮往	6.638	6.567	0.328	0.581
1184	稍微不痛	4.650	5.150	0.684	0.843
2035	沒有更完善	4.475	4.686	0.409	0.439
1219	更加不想	3.357	5.500	0.639	0.5
961	更沒自信	3.333	5.857	0.471	0.35
1663	應該超想	5.900	5.678	0.304	0.722
1626	本來很喜歡	5.063	5.875	0.882	0.65
1332	更不能輸	5.667	6.250	0.816	0.661
574	很愛	9.000	6.500	0.0	0.5
1912	不能得罪	4.714	5.875	0.589	0.82
15	極度不足	2.756	4.788	0.709	0.664
195	格外吸引	7.278	7.333	0.416	0.471
1048	還不流行	4.450	4.111	0.472	0.737
1177	更沒尊嚴	3.278	6.167	0.583	0.745
1795	應該不想	4.063	3.333	0.165	0.471
1848	沒打	5.500	4.700	0.75	0.6
1171	超不尊重	2.500	7.167	0.5	0.577
2097	沒特別強	4.757	4.711	0.565	0.543
1806	應該沒遇到	4.600	3.575	0.442	0.463
320	稍差	3.444	4.222	0.497	0.416
1116	比較不清楚	4.063	3.600	0.165	0.49
971	尤其不希望	3.275	5.417	0.424	0.449
2073	沒有特別差	4.667	4.222	0.577	0.416
1406	本來希望	4.922	4.833	0.571	0.667
1898	不相信	3.556	5.750	0.437	0.612
335	較弱	3.400	4.000	0.49	0.0
1380	比較沒有顧慮	5.513	4.144	0.437	0.641
1024	極度不欣賞	1.889	7.500	0.614	0.535
1842	沒八卦	5.375	4.225	0.494	0.636
71	有點失望	2.900	5.625	0.831	0.484
1061	比較沒風險	5.625	5.143	0.696	0.639
583	萬分感恩	7.689	6.300	0.491	0.6
1877	沒受傷	5.750	4.938	0.382	0.726
65	有點可憐	4.063	4.556	0.3	0.55
171	超級有錢	7.589	7.056	0.378	0.568
1245	最不愛	2.000	6.750	0.782	1.061
708	相當適合	6.444	4.500	0.497	0.5
1873	沒改善	3.800	4.967	0.409	0.766
1901	沒有重大	5.143	4.583	0.44	0.731
1596	應該更強	6.525	5.667	0.435	0.432
756	極其遺憾	1.844	6.625	0.201	0.65
457	很麻煩	3.000	6.000	0.0	0.0
1012	有點不放心	4.000	4.056	0.0	0.831
769	無比尷尬	2.167	7.167	0.471	0.667
1923	不想	3.967	3.856	0.766	0.782
875	愈爛	2.256	6.100	0.195	0.224
1712	應該特別謹慎	6.111	5.500	1.021	0.655
440	挺爽	7.356	7.350	0.422	0.292
5	萬分小心	4.600	7.500	1.158	0.433
165	很有趣	7.778	6.000	0.416	0.0
735	更加積極	7.063	7.025	0.165	0.066
1168	很不尊重	2.556	6.750	0.497	0.433
945	還不能成功	3.975	5.563	0.156	0.583
613	很慘	2.000	6.000	0.0	0.0
1599	應該蠻強	6.189	5.575	0.468	0.441
1354	最沒幫助	3.100	6.375	0.735	0.65
1296	更加不確定	3.744	6.189	0.593	0.677
2200	沒完全確定	4.944	4.700	0.556	0.648
1641	應該最開心	7.344	6.500	0.531	0.5
1395	可能好	5.567	4.286	0.149	0.452
1277	還不能滿足	4.667	4.522	0.783	0.498
500	太無聊	2.444	5.000	0.497	0.816
2048	沒有好怪	5.300	4.700	0.4	0.4
1484	應該嚴格	4.056	6.350	0.724	0.712
668	較輕鬆	6.556	2.444	0.497	0.497
2085	沒有比較偉大	3.944	5.433	0.691	0.727
96	超丟臉	1.813	7.313	0.788	0.609
1160	越不喜歡	3.063	5.813	0.165	0.348
37	較支持	6.667	5.356	0.685	0.615
1191	非常不舒服	2.375	7.000	0.484	0.866
1613	應該蠻爽	7.167	6.722	0.667	0.749
451	好累	2.289	5.850	0.197	0.214
779	格外艱困	2.713	7.113	0.252	0.293
1886	沒有放棄	5.850	5.563	0.572	0.39
843	稍微嚴重	3.889	6.000	0.314	0.267
59	非常可愛	8.000	7.313	0.0	0.348
1141	極為不爽	2.625	8.111	0.484	0.567
1963	不能隨便	5.200	5.422	0.245	0.437
1212	最沒傷害	5.289	6.125	0.659	0.894
2034	沒有最完美	5.163	4.725	0.367	0.466
1675	本來更慘	3.625	6.000	0.65	0.624
130	很好笑	7.000	7.000	0.0	0.0
692	異常熱鬧	6.929	7.450	0.319	0.415
909	完全不能同意	2.750	6.625	0.512	0.484
1701	本來有點擔心	4.417	5.722	0.672	0.533
1342	更不能隨便	4.875	6.438	0.74	0.464
986	還沒忘記	4.933	4.433	0.356	0.581
1622	可能很麻煩	3.356	6.263	0.46	0.482
373	格外高興	7.767	6.900	0.462	0.616
235	很怕	2.600	7.000	0.49	0.0
820	相當關心	6.789	6.578	0.321	0.71
1179	很沒有尊嚴	2.640	6.063	0.436	0.165
946	還沒成功	4.000	4.250	0.0	0.873
1773	本來不討厭	4.500	5.000	1.025	0.0
159	最有效	7.444	6.111	0.497	0.314
678	超級噁心	1.938	7.900	0.086	0.577
1290	更不樂觀	3.063	6.100	0.165	0.831
2065	不能太差	3.900	5.657	0.733	0.437
1693	應該更適合	6.278	4.611	0.583	0.515
1306	比較不適合	4.000	3.850	0.0	0.776
1496	應該挺正	6.389	5.200	0.657	0.927
1808	應該沒違法	4.922	4.663	0.581	0.522
429	更為清楚	6.710	4.460	0.561	0.408
309	格外值得	7.229	6.533	0.249	0.397
1821	應該沒興趣	4.333	4.714	0.471	0.452
206	無比快樂	8.313	7.563	0.428	0.527
2032	沒很冷	5.189	4.167	0.524	0.411
1002	更不能忽視	5.000	6.125	0.707	0.927
2231	沒有最難吃	3.650	4.917	0.384	0.717
1614	可能比較笨	3.611	5.088	0.495	0.635
814	格外懷念	6.767	6.389	0.49	0.664
1044	完全不後悔	6.056	5.625	0.956	0.484
437	太爽	8.000	8.000	0.0	0.0
441	特別爽	8.000	8.167	0.408	0.236
1665	應該蠻想	5.444	4.460	0.469	0.993
1971	沒騙	6.250	5.286	0.433	0.452
611	太慘	2.000	6.000	0.0	0.0
221	較佳	6.400	4.500	0.49	0.5
1738	也許不好	4.000	4.375	0.0	0.484
759	完全錯誤	2.050	5.838	0.112	0.576
1683	應該很精彩	7.475	7.243	0.54	0.8
311	略微哽咽	4.000	5.813	0.354	0.788
988	十分不快樂	2.889	6.444	0.875	0.497
2247	沒有最蠢	3.214	5.200	0.839	0.469
1476	可能輸	3.944	4.500	0.157	0.463
1447	本來開心	4.525	5.350	0.479	0.676
1699	應該蠻適合	6.144	4.488	0.211	0.56
2078	沒有比較弱	5.438	4.650	0.536	0.676
1684	本來很緊張	4.786	5.571	0.589	0.495
422	極為敏感	3.689	6.513	0.638	0.537
796	更加謹慎	7.163	4.963	0.187	0.755
1982	沒有特別支持	4.813	4.083	0.658	0.344
1650	可能更想	5.388	4.788	0.337	0.605
2100	沒有非常強烈	5.111	5.600	0.614	0.583
1047	相當不恰當	3.389	4.714	0.458	0.452
1134	最不爽	2.250	7.833	0.433	0.816
1986	沒特別出色	4.825	4.613	0.494	0.549
459	超麻煩	2.400	6.333	0.49	0.471
734	更積極	7.222	7.000	0.416	0.0
361	越臭	3.071	5.643	0.495	0.35
1791	可能沒有想	4.975	3.143	0.066	0.232
1031	完全沒信心	3.000	6.222	0.0	0.916
642	蠻漂亮	7.267	6.230	0.544	0.852
1480	應該幫助	6.189	5.500	0.513	0.5
376	尤其偏愛	6.000	5.750	1.225	0.75
967	比較不冷	5.375	3.667	0.484	0.471
529	十分開心	8.000	7.000	0.0	0.0
1297	較不確定	4.000	4.071	0.0	0.175
654	愈緊張	3.388	7.389	0.42	0.774
149	最為成功	8.544	7.078	0.365	0.715
1768	可能沒有差	5.188	4.000	0.496	0.775
93	愈用力	4.850	7.625	0.328	0.307
816	完全贊同	7.813	6.778	0.496	0.478
1872	沒有忘記	5.889	5.000	0.515	0.802
2139	不能還想	4.700	4.500	0.4	0.408
1537	可能很有錢	6.225	5.000	0.531	0.783
639	超漂亮	8.222	7.389	0.478	0.393
1525	應該最安全	7.143	6.071	0.58	0.776
1996	不太好	4.000	4.625	0.25	0.545
1189	更不舒服	3.063	5.375	0.165	0.484
1493	可能更可怕	2.833	7.000	0.882	0.408
1775	可能沒救	3.389	6.125	0.875	0.781
360	愈臭	3.343	5.343	0.392	0.424
190	較冷	3.311	4.425	0.436	0.323
788	極其艱難	2.057	7.756	0.09	0.409
377	更加堅強	7.811	7.063	0.191	0.086
1240	更不愛	3.100	5.813	0.735	0.704
1336	完全沒有錯	6.667	5.944	0.471	0.896
13	略微不足	4.711	3.657	0.185	0.699
717	較適當	6.000	4.500	0.0	0.5
1817	可能不適合	4.000	3.375	0.0	0.484
896	十分不可靠	3.000	6.150	0.0	0.776
1255	很沒感情	3.438	6.188	0.39	0.788
91	稍稍用力	4.813	5.688	0.348	0.556
1358	比較不關心	4.000	4.000	0.0	0.816
74	略失望	3.833	5.313	0.471	0.496
566	有點想	5.250	3.429	0.433	0.728
2205	不能太操	3.767	5.667	0.373	0.745
224	好奇怪	3.667	6.000	0.471	0.0
375	尤其偏好	5.400	5.186	0.321	0.541
2192	沒比較輕鬆	4.188	3.714	0.242	0.525
675	怪噁心	1.975	7.071	0.066	0.175
501	好無聊	2.600	4.333	0.49	0.667
2227	沒有最醜	4.929	4.375	0.562	0.65
1029	比較沒有信心	3.778	5.000	0.416	0.0
1780	可能不爽	4.375	5.625	0.484	0.484
990	最不快樂	2.556	6.500	0.497	1.0
1204	超不開心	2.600	7.389	0.49	0.875
929	還沒好	4.400	4.250	0.49	0.829
1470	也許適合	5.238	3.344	0.218	0.71
118	超級好	7.625	6.667	0.484	0.471
1558	可能有點勉強	3.833	4.875	0.471	0.545
1660	應該更想	5.256	4.871	0.33	0.597
127	太好笑	7.250	7.375	0.433	0.484
1514	應該非常好	7.100	6.178	0.24	0.346
2223	不能太聰明	4.917	5.750	0.886	0.25
1680	應該太慢	3.571	4.100	0.495	0.8
1903	不值錢	3.688	5.333	0.496	0.782
1437	應該爽	6.322	6.033	0.437	0.718
87	越正	7.000	6.000	0.433	0.75
1676	應該更慘	2.125	6.200	0.415	0.245
706	非常適合	6.375	5.000	0.484	0.535
201	更加完善	7.000	5.000	0.0	0.0
1188	比較不舒服	4.000	4.857	0.0	0.639
902	還不打	4.600	6.143	0.374	0.833
2136	不很想	4.100	3.333	0.2	0.471
1167	完全沒有尊重	2.556	6.571	0.497	0.495
1344	比較沒壓力	5.722	4.375	0.533	0.484
1383	也許心情	4.750	3.875	0.433	0.217
1199	超級不舒服	2.333	7.111	0.471	0.737
2157	沒有完全解決	4.375	5.250	0.415	0.854
1129	更加不爽	3.000	7.625	0.943	0.484
1681	應該更精彩	6.929	7.111	1.147	0.843
1209	較不傷	4.257	4.378	0.392	0.437
687	極為熱烈	7.156	7.967	0.552	0.741
1080	更不能容忍	3.000	6.500	0.0	0.5
1526	應該還安全	5.556	4.375	0.369	0.484
2019	沒比較安全	3.750	5.222	0.25	0.671
469	非常喜歡	8.000	7.333	0.0	0.471
622	太慢	3.000	5.222	0.816	0.786
484	更為惡劣	1.833	7.444	0.667	0.55
1267	還沒有遇到	4.938	3.625	0.165	0.484
1225	超不想	3.188	6.500	0.348	0.5
757	極為遺憾	1.389	6.643	0.458	0.693
1268	還沒有遊戲	4.900	4.500	0.141	0.5
2162	不好鼓勵	4.583	4.688	0.449	0.556
32	稍微分享	6.167	4.322	0.371	0.565
530	好開心	8.050	7.450	0.132	0.311
1501	應該蠻正	6.244	5.111	0.587	0.743
1541	可能有點冷	4.078	4.156	0.355	0.512
477	還喜歡	7.300	5.878	0.494	0.745
1777	可能不清楚	4.056	3.375	0.157	0.484
1289	十分不樂觀	2.500	6.833	0.5	0.373
1235	太沒愛	3.450	5.729	0.496	0.878
466	好喜歡	8.000	6.333	0.0	0.471
498	萬分無奈	2.500	4.400	0.572	0.595
1875	不能決定	4.167	5.167	0.577	0.687
1731	應該不打	5.125	5.250	0.65	0.433
686	越加熱烈	6.578	7.978	0.643	0.063
430	非常清楚	6.250	4.875	0.433	0.599
1398	可能成功	6.643	5.625	0.742	0.484
1283	極度不滿意	1.625	7.429	0.484	0.495
647	好緊張	3.000	8.000	0.0	0.0
2084	沒特別高興	5.088	5.000	0.528	0.408
1698	應該較適合	5.813	4.188	0.428	0.428
1673	可能更慘	2.467	6.000	0.445	0.932
1492	應該最支持	7.429	6.000	0.728	0.378
1162	蠻不喜歡	3.611	5.625	0.458	0.484
1042	極度不信任	2.063	7.000	0.165	0.866
1700	可能更擔心	3.422	5.922	0.379	0.686
1902	不值得	3.444	5.722	0.55	0.533
983	更沒有忘記	5.425	6.083	0.452	0.297
444	超級爽	7.950	8.075	0.274	0.13
658	太認真	7.625	6.222	0.696	0.416
2110	沒很清楚	4.157	3.833	0.25	0.707
655	萬分緊張	2.325	8.075	0.286	0.307
694	更加確定	6.929	5.733	0.198	0.442
1256	很沒有感情	3.250	5.667	0.5	0.799
1800	應該不愛	4.314	4.656	0.587	0.609
989	很不快樂	2.556	6.688	0.497	0.747
1136	超不爽	1.375	7.929	0.484	0.175
51	蠻可怕	3.100	6.778	0.224	0.598
301	最為重大	4.838	8.000	0.331	0.0
1329	很沒有興趣	3.725	5.125	0.591	0.877
519	比較舒服	6.400	3.778	0.49	0.629
915	有點不好	3.600	4.714	0.49	0.7
1257	超沒感情	2.911	6.500	0.687	0.463
2137	不特別想	4.533	3.486	0.481	0.464
782	異常艱辛	1.963	7.500	0.099	0.32
2174	沒更慘	3.556	5.275	0.55	0.792
1237	比較不愛	4.000	3.833	0.0	0.577
1885	沒放棄	6.250	5.688	0.791	0.556
2012	沒完全好	4.086	4.400	0.348	0.524
1051	完全不相信	2.625	6.188	0.484	0.496
385	非常強	7.150	6.613	0.212	0.395
1461	可能違法	3.500	6.063	0.333	0.3
1387	本能支配	4.744	5.057	0.403	0.232
1265	完全沒遇到	5.000	5.000	0.0	0.756
1339	很沒錯	5.840	5.083	0.427	0.837
211	稍稍改善	5.722	4.667	0.248	0.624
81	比較正	6.500	5.571	0.5	0.495
11	極為不利	2.275	7.088	0.327	0.314
2072	沒有很差	4.688	4.000	0.428	0.75
877	蠻蠢	2.378	5.271	0.308	0.403
1708	可能太醜	2.438	4.786	0.583	0.647
302	極其重大	5.100	8.071	0.663	0.175
368	超級討厭	1.600	7.667	0.49	0.471
1371	還不願意	4.000	5.050	0.0	0.85
1382	本來心情	4.750	4.800	0.433	0.812
92	稍微用力	5.613	7.057	0.33	0.609
1628	本來超喜歡	5.063	6.056	0.768	0.685
2201	沒有最賤	2.733	6.750	0.616	0.433
1102	十分不高興	2.333	7.571	0.471	0.495
518	萬分痛苦	1.389	7.825	0.256	0.192
1462	也許對	5.600	3.860	0.44	0.785
826	好難過	2.000	6.500	0.0	0.5
1112	完全沒救	2.333	7.125	0.471	0.599
259	稍微玩	5.063	4.500	0.165	0.612
90	稍用力	5.125	5.875	0.331	0.65
753	十分遺憾	1.556	5.444	0.497	0.497
1276	還不滿足	3.500	5.357	0.5	0.789
571	比較愛	8.000	5.444	0.667	0.497
1077	比較不害羞	5.444	3.722	0.497	0.533
931	還不好	3.567	5.000	0.596	0.756
1530	可能還有效	5.667	4.657	0.594	0.583
1214	有點不想	4.000	4.583	0.0	0.731
38	相當出色	8.000	6.389	0.408	0.614
2219	沒有更糟	4.167	5.000	0.236	0.866
2115	沒很爽	4.644	5.100	0.641	0.831
1834	可能不願	4.000	4.389	0.0	0.458
64	好可憐	3.000	6.000	0.0	0.0
707	很適合	6.000	4.333	0.0	0.471
481	稍悶	4.125	4.400	0.217	0.735
464	尤其喜歡	7.456	5.967	0.64	0.564
1893	沒有信心	3.143	5.429	0.226	0.416
2246	沒很爛	4.643	4.878	0.693	0.766
202	更為完善	7.725	5.380	0.228	0.508
1386	應該支持	6.000	4.800	0.624	0.872
771	萬分尷尬	2.729	5.529	0.333	0.437
411	完全控制	4.083	6.125	0.607	0.217
2249	沒有太驚訝	4.878	5.713	0.371	0.571
1295	有點不確定	4.063	4.222	0.165	0.416
63	超級可愛	8.200	7.267	0.386	0.462
182	好冷	3.000	5.000	0.0	0.0
1498	可能很正	6.625	5.643	0.781	0.693
14	稍不足	4.211	4.438	0.238	0.464
1307	有點不適合	4.056	3.444	0.157	0.497
716	最為適當	7.733	5.900	0.389	0.903
851	蠻嚴重	2.725	7.400	0.356	0.552
582	蠻愛	7.333	6.167	0.986	0.333
1607	可能比較爽	6.433	5.986	0.512	0.645
1194	挺不舒服	3.400	4.889	0.49	0.737
166	挺有趣	7.811	6.378	0.264	0.308
1897	不是	3.688	4.971	0.44	0.07
2226	沒有特別聰明	5.100	3.933	0.691	0.655
2196	不太確定	4.460	4.578	0.418	0.819
1820	本來沒興趣	5.050	4.813	0.85	0.348
414	十分敏感	3.813	6.375	0.704	0.415
20	極為不便	2.875	5.833	0.238	0.39
790	萬分謝謝	7.688	7.500	0.428	0.671
1649	可能比較想	5.583	4.438	0.449	1.13
1285	還不滿意	3.500	5.625	0.5	0.696
1063	完全沒風險	6.563	6.000	0.464	0.632
1208	比較不傷	4.950	4.688	0.907	0.428
30	極為不滿	2.388	7.489	0.389	1.014
2175	沒最慘	3.943	4.775	0.484	0.452
1422	可能玩	5.063	4.625	0.464	0.415
2165	沒有完全對	4.833	4.688	0.408	0.496
1454	應該想	5.000	3.714	0.0	0.452
2105	不完全清楚	4.125	4.200	0.217	0.245
114	無比好	7.700	6.871	0.535	0.43
526	更為舒適	7.214	5.875	0.247	0.65
1967	沒有幫助	3.425	5.333	0.561	0.377
912	太不好	3.071	5.722	0.175	0.416
1228	愈不想	3.778	5.071	0.583	0.863
785	更加艱難	2.188	7.571	0.556	0.416
1377	較不爛	4.250	5.025	0.873	0.665
46	很可怕	2.500	7.000	0.5	0.0
890	稍微不小心	4.000	4.429	0.0	0.495
1871	沒忘記	5.938	4.563	0.165	0.464
1953	不適合	4.056	4.288	0.55	0.451
293	太相信	8.000	6.000	0.0	0.0
1253	很沒愛心	3.278	5.667	0.416	0.471
2009	沒有很好	4.063	4.571	0.3	0.623
1521	應該蠻好	6.563	5.071	0.634	0.175
630	愈慢	3.900	3.188	0.389	0.496
721	無比震驚	2.929	8.333	0.175	0.445
1863	沒有死	6.167	5.429	0.471	1.178
1605	應該很清楚	6.429	3.900	0.562	0.2
1959	沒輸	5.538	4.833	0.444	0.624
321	稍微差	3.713	4.278	0.392	0.754
418	異常敏感	3.589	5.971	0.582	0.219
16	較不足	4.000	4.375	0.0	0.484
482	更加惡化	2.400	6.778	0.435	0.487
744	無比興奮	8.375	8.322	0.282	0.297
1239	比較沒有愛	3.963	5.000	0.579	0.707
581	愈愛	8.786	6.389	0.247	0.458
1794	本來沒有想	4.778	4.071	0.342	0.175
277	最為恰當	7.156	6.000	0.406	0.66
511	稍痛	3.944	5.444	0.283	0.437
1831	可能沒有幫助	4.000	5.250	0.0	0.433
588	萬分感謝	8.478	6.788	0.339	0.19
669	較為輕鬆	6.111	2.411	0.477	0.703
2004	沒有太好	3.938	5.500	0.3	0.5
1709	可能很醜	2.944	5.333	0.831	0.707
546	還亂	3.214	6.444	0.589	0.437
1798	可能不愛	4.000	4.438	0.0	0.464
1449	本來亂	3.800	5.114	0.6	0.806
1756	應該不怕	5.389	4.389	0.567	0.458
763	無比壓力	1.688	7.667	0.556	0.527
2098	沒最強	4.700	5.250	0.63	0.444
1140	極度不爽	2.063	7.500	0.165	0.5
2133	沒有比較舒服	4.056	4.583	0.643	0.534
758	萬分遺憾	2.125	4.900	0.12	0.638
1115	太不清楚	3.444	4.714	0.497	0.7
1425	可能威脅	3.750	6.250	0.25	0.5
670	略酸	4.333	4.563	0.408	0.527
837	非常嚴重	2.000	8.000	0.0	0.0
1936	沒遇到	4.250	3.778	0.844	0.671
822	最關心	7.500	7.000	0.5	0.0
