No.	Phrase	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
355	較為缺乏	2.763	4.370	0.308	1.017
356	好臭	3.000	5.556	0.0	0.497
357	老臭	2.600	5.500	0.428	0.354
358	很臭	2.625	5.667	0.484	0.667
359	超級臭	2.489	5.325	0.472	0.65
360	愈臭	3.343	5.343	0.392	0.424
361	越臭	3.071	5.643	0.495	0.35
362	略微衰退	3.833	4.063	0.236	0.3
363	稍稍衰退	4.250	3.929	0.25	0.562
364	非常討厭	2.000	7.667	0.0	0.471
365	特別討厭	1.889	7.438	0.737	0.464
366	最討厭	1.600	8.000	0.49	0.0
367	超討厭	1.467	7.833	0.316	0.183
368	超級討厭	1.600	7.667	0.49	0.471
369	極度討厭	1.725	7.989	0.222	0.42
370	十分高興	8.125	7.938	0.217	0.165
371	非常高興	8.000	8.000	0.0	0.0
372	很高興	8.000	7.000	0.0	0.0
373	格外高興	7.767	6.900	0.462	0.616
374	特別高興	7.450	7.330	0.52	0.469
375	尤其偏好	5.400	5.186	0.321	0.541
376	尤其偏愛	6.000	5.750	1.225	0.75
377	更加堅強	7.811	7.063	0.191	0.086
378	格外堅強	7.144	6.822	0.211	0.397
379	異常堅強	7.643	7.125	0.35	0.415
380	無比堅強	7.378	6.625	0.308	0.526
381	萬分寂寞	2.656	5.429	0.337	0.734
382	太強	7.500	6.556	0.5	0.497
383	比較強	6.600	5.625	0.49	0.484
384	有點強	5.988	4.689	0.203	0.681
385	非常強	7.150	6.613	0.212	0.395
386	特別強	7.375	6.625	0.484	0.484
387	略強	5.889	5.313	0.458	0.496
388	最強	7.625	6.750	0.484	0.433
389	稍強	6.213	4.980	0.237	0.768
390	稍微強	5.938	4.763	0.39	0.495
391	超級強	7.557	6.213	0.325	0.242
392	越強	7.000	6.000	0.0	0.0
393	愈強	7.000	6.000	0.0	0.0
394	較強	6.500	5.857	0.5	0.35
395	還強	6.778	6.056	0.853	0.497
396	蠻強	6.813	6.188	0.658	0.428
397	很強	7.000	6.000	0.0	0.0
398	尤其強烈	3.713	8.225	0.513	0.547
399	更為強烈	4.871	8.411	0.205	0.375
400	特別強烈	4.929	8.222	0.776	0.583
401	異常強烈	4.100	8.350	0.827	0.229
402	最為強烈	3.656	8.344	0.574	0.548
403	越發強烈	4.729	8.314	0.357	0.223
404	極其強烈	4.688	8.725	0.428	0.233
405	極為強烈	5.125	8.688	0.217	0.428
406	較強烈	4.733	7.711	0.408	0.472
407	較為強烈	3.714	7.500	0.647	0.816
408	老情人	5.857	6.333	0.875	0.745
409	異常情緒	3.500	6.286	0.75	0.364
410	極度排斥	1.833	7.833	0.577	0.707
411	完全控制	4.083	6.125	0.607	0.217
412	稍稍控制	4.513	3.967	0.355	0.69
413	稍微控制	4.500	4.250	0.408	0.382
414	十分敏感	3.813	6.375	0.704	0.415
415	尤其敏感	4.375	6.188	0.415	0.428
416	更為敏感	3.940	5.925	0.71	0.277
417	格外敏感	3.656	5.711	0.655	0.569
418	異常敏感	3.589	5.971	0.582	0.219
419	最為敏感	3.556	5.413	0.479	0.443
420	極其敏感	3.113	6.233	0.271	0.964
421	極度敏感	3.638	5.725	0.492	0.558
422	極為敏感	3.689	6.513	0.638	0.537
423	較敏感	4.088	5.050	0.169	0.794
424	較為敏感	3.888	5.238	0.411	0.32
425	十分清楚	6.143	4.857	0.35	0.639
426	比較清楚	5.333	4.286	0.471	0.452
427	更清楚	6.000	4.222	0.0	0.416
428	更加清楚	6.000	4.333	0.0	0.471
429	更為清楚	6.710	4.460	0.561	0.408
430	非常清楚	6.250	4.875	0.433	0.599
431	很清楚	5.778	4.333	0.416	0.471
432	相當清楚	6.000	4.111	0.0	0.737
433	最清楚	6.825	4.313	0.228	0.655
434	越清楚	6.000	4.571	0.0	0.728
435	愈清楚	6.750	4.475	0.187	0.792
436	較清楚	5.667	3.333	0.471	0.471
437	太爽	8.000	8.000	0.0	0.0
438	更爽	8.000	8.000	0.0	0.0
439	很爽	8.000	8.000	0.0	0.0
440	挺爽	7.356	7.350	0.422	0.292
441	特別爽	8.000	8.167	0.408	0.236
442	最爽	8.444	8.000	0.497	0.0
443	超爽	8.500	8.444	0.5	0.497
444	超級爽	7.950	8.075	0.274	0.13
445	越爽	7.611	7.778	0.614	0.533
446	愈爽	7.513	7.750	0.451	0.283
447	還爽	7.400	7.300	0.308	0.235
448	蠻爽	7.556	7.556	0.497	0.497
449	老笨蛋	2.488	6.356	0.488	0.604
450	太累	2.444	5.400	0.497	0.49
451	好累	2.289	5.850	0.197	0.214
452	很累	2.500	5.600	0.5	0.49
453	超級累	2.689	5.457	0.479	0.238
454	極度貧窮	1.444	6.671	0.406	0.995
455	太麻煩	2.667	6.000	0.471	0.0
456	比較麻煩	2.767	5.738	0.294	0.755
457	很麻煩	3.000	6.000	0.0	0.0
458	挺麻煩	3.289	5.622	0.502	0.549
459	超麻煩	2.400	6.333	0.49	0.471
460	超級麻煩	2.278	6.500	0.533	0.707
461	較麻煩	3.188	5.611	0.556	0.458
462	尤其喜愛	7.263	6.925	0.223	0.198
463	太喜歡	8.000	6.444	0.0	0.497
464	尤其喜歡	7.456	5.967	0.64	0.564
465	比較喜歡	6.700	5.000	0.9	0.707
466	好喜歡	8.000	6.333	0.0	0.471
467	老喜歡	6.300	6.250	0.872	0.692
468	更喜歡	8.000	6.500	0.0	0.5
469	非常喜歡	8.000	7.333	0.0	0.471
470	很喜歡	8.000	6.444	0.0	0.497
471	挺喜歡	7.367	5.689	0.589	0.491
472	特別喜歡	8.333	7.333	0.471	0.471
473	最喜歡	8.600	7.333	0.49	0.471
474	超喜歡	8.188	6.213	0.355	0.176
475	超級喜歡	8.389	7.688	0.515	0.428
476	較喜歡	6.533	5.756	0.499	0.472
477	還喜歡	7.300	5.878	0.494	0.745
478	蠻喜歡	7.178	5.913	0.681	0.423
479	異常悲憤	1.500	8.444	0.624	0.497
480	略悶	3.910	4.060	0.635	0.839
481	稍悶	4.125	4.400	0.217	0.735
482	更加惡化	2.400	6.778	0.435	0.487
483	更為惡化	2.178	6.800	0.563	0.575
484	更為惡劣	1.833	7.444	0.667	0.55
485	極其惡劣	1.700	7.950	0.224	0.283
486	極度惡劣	1.333	8.222	0.408	0.533
487	極為惡劣	1.611	7.175	0.423	0.733
488	太棒	7.444	6.625	0.497	0.484
489	更棒	7.000	6.400	0.0	0.49
490	非常棒	7.222	6.444	0.416	0.497
491	很棒	7.600	6.600	0.49	0.49
492	最棒	8.375	6.500	0.484	0.5
493	更為棘手	2.489	7.188	0.381	0.237
494	最為棘手	2.125	7.375	0.217	0.415
495	極其殘忍	1.089	8.590	0.159	0.428
496	極為殘忍	1.310	8.656	0.266	0.279
497	十分無奈	2.667	5.375	0.471	0.484
498	萬分無奈	2.500	4.400	0.572	0.595
499	極其無能	2.156	7.211	0.324	0.335
500	太無聊	2.444	5.000	0.497	0.816
501	好無聊	2.600	4.333	0.49	0.667
502	有點無聊	3.956	3.757	0.414	0.604
503	很無聊	2.600	4.333	0.49	0.471
504	挺無聊	3.500	3.833	0.742	0.816
505	超無聊	2.322	3.700	0.815	0.951
506	超級無聊	2.989	5.560	0.191	0.463
507	極其無聊	2.444	4.571	0.437	1.015
508	蠻無聊	3.333	4.000	0.471	0.0
509	異常焦慮	1.938	7.167	0.3	0.624
510	萬分焦慮	1.857	8.222	0.226	0.478
511	稍痛	3.944	5.444	0.283	0.437
512	超痛	2.000	7.500	0.0	0.5
513	超級痛	1.556	8.000	0.55	0.624
514	越痛	2.175	6.788	0.307	0.232
515	愈痛	2.238	7.063	0.218	0.278
516	極度痛苦	1.488	8.270	0.127	0.613
517	極為痛苦	1.650	7.933	0.45	0.522
518	萬分痛苦	1.389	7.825	0.256	0.192
519	比較舒服	6.400	3.778	0.49	0.629
520	很舒服	7.000	4.250	0.0	0.433
521	挺舒服	6.963	3.938	0.43	0.698
522	超舒服	7.333	5.000	0.471	0.756
523	蠻舒服	7.000	3.600	0.0	0.49
524	超級舒服	7.522	5.450	0.385	0.791
525	更加舒適	7.322	3.675	0.561	0.521
526	更為舒適	7.214	5.875	0.247	0.65
527	較舒適	6.600	3.444	0.49	0.497
528	較為舒適	6.778	4.000	0.583	0.289
529	十分開心	8.000	7.000	0.0	0.0
530	好開心	8.050	7.450	0.132	0.311
531	非常開心	8.000	7.600	0.0	0.49
532	很開心	8.000	7.000	0.0	0.0
533	挺開心	7.100	6.550	0.8	1.036
534	格外開心	8.056	7.188	0.55	0.242
535	特別開心	8.214	7.438	0.247	0.39
536	無比開心	8.333	7.722	0.408	0.478
537	還開心	7.429	6.563	0.623	0.634
538	蠻開心	7.389	6.550	0.623	0.518
539	更加順利	7.530	5.938	0.398	0.3
540	更為順利	7.356	5.920	0.568	0.779
541	異常順利	7.078	6.400	0.666	0.648
542	好亂	2.600	6.400	0.49	0.49
543	稍亂	4.188	4.750	0.242	0.612
544	越亂	2.517	6.756	0.069	0.241
545	愈亂	2.489	6.700	0.446	0.265
546	還亂	3.214	6.444	0.589	0.437
547	略嫌	3.688	4.750	0.44	0.612
548	稍嫌	3.744	4.633	0.455	0.631
549	超級幹	0.922	8.644	0.162	0.506
550	超幹	1.000	9.000	0.0	0.0
551	比較想	5.500	3.556	0.5	0.497
552	好想	5.667	4.375	0.471	0.484
553	完全想	5.800	5.120	0.245	0.676
554	挺想	5.563	5.222	0.527	0.885
555	特別想	6.000	5.125	0.775	0.781
556	略想	5.188	3.625	0.242	0.96
557	最想	5.750	4.889	0.433	0.567
558	稍稍想	5.100	3.078	0.166	0.498
559	稍微想	5.111	4.300	0.393	0.6
560	超想	5.625	5.625	0.484	0.484
561	超級想	6.444	5.283	0.437	0.833
562	越想	5.500	4.286	0.5	0.452
563	極度想	6.000	6.250	0.743	1.061
564	還想	5.057	4.071	0.14	0.678
565	蠻想	5.556	4.375	0.497	0.484
566	有點想	5.250	3.429	0.433	0.728
567	更想	5.667	4.250	0.471	0.433
568	愈想	5.733	3.900	0.501	0.587
569	太愛	8.889	6.500	0.314	0.5
570	尤其愛	8.088	5.550	0.683	0.456
571	比較愛	8.000	5.444	0.667	0.497
572	好愛	9.000	6.250	0.0	0.433
573	更愛	8.889	6.333	0.314	0.471
574	很愛	9.000	6.500	0.0	0.5
575	特別愛	9.000	6.889	0.0	0.737
576	超愛	9.000	7.000	0.0	0.0
577	越愛	8.278	5.329	0.6	0.75
578	較愛	7.800	5.190	0.671	0.936
579	還愛	6.625	6.000	0.65	0.433
580	超級愛	8.650	6.313	0.43	0.509
581	愈愛	8.786	6.389	0.247	0.458
582	蠻愛	7.333	6.167	0.986	0.333
583	萬分感恩	7.689	6.300	0.491	0.6
584	十分感謝	7.533	6.467	0.508	0.386
585	尤其感謝	7.871	6.200	0.205	0.432
586	非常感謝	8.000	6.667	0.0	0.471
587	超級感謝	8.011	7.143	0.031	0.35
588	萬分感謝	8.478	6.788	0.339	0.19
589	較為溫和	5.850	3.738	0.255	0.487
590	異常溫暖	7.120	5.271	0.578	0.547
591	無比溫暖	7.770	5.113	0.529	0.891
592	格外溫馨	8.350	5.360	0.24	1.009
593	很煩	2.444	6.400	0.497	0.49
594	超煩	2.000	6.625	0.0	0.484
595	超級煩	1.833	7.167	0.471	0.667
596	完全禁止	2.567	5.214	0.44	0.391
