No.	Word	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
1691	法律	4.600	3.600	0.49	1.85
746	恩惠	6.400	5.000	0.49	1.673
4536	窮途末路	2.500	7.000	1.0	1.173
980	凱旋	7.200	7.000	0.4	0.0
379	死人	2.200	7.000	0.748	1.414
5258	恣意妄為	2.900	5.800	0.742	1.095
4871	忍氣吞聲	4.000	4.300	0.612	1.44
2454	垃圾場	3.800	3.600	0.75	1.62
1212	煩愁	2.800	6.800	0.4	0.4
675	為難	3.400	4.800	0.49	1.327
142	伴侶	7.000	4.600	0.0	2.245
581	玩樂	6.200	6.600	1.327	0.49
3337	衝動	4.000	6.200	0.837	1.965
3830	優異	8.600	6.500	0.548	1.0
4957	亂罵	3.000	6.400	1.225	2.191
3597	開趴	6.900	7.900	1.14	1.14
3537	戰無不勝	7.900	7.500	0.8	0.447
4222	中看	6.800	4.200	0.8	0.447
3451	叮囑	5.300	4.200	0.6	1.47
3503	物廉價美	7.000	4.900	0.707	0.8
4583	弄碎	3.500	4.500	1.118	1.5
285	乏味	3.400	3.000	0.8	1.414
1290	疑點	3.800	4.200	0.748	1.166
3458	有效率	7.000	4.400	0.707	1.463
2856	逃跑	3.500	5.800	0.894	0.98
3194	道謝	7.000	5.600	0.894	1.625
2952	柔和	5.500	1.800	0.447	0.51
2918	丟掉	4.400	3.200	0.374	0.678
1589	懼怕	2.600	7.200	0.8	0.748
5465	柔柔嫩嫩	6.400	4.200	0.548	0.908
5172	驚覺	4.300	5.100	0.975	2.133
4380	走火	2.600	7.500	0.652	1.225
832	逃離	4.000	6.200	0.0	0.98
610	冠軍	8.000	7.400	0.0	0.49
2673	擔負	4.400	4.600	0.49	1.02
153	朋友	6.800	4.200	0.748	1.166
1903	合乎	5.200	3.200	0.4	1.47
175	愛人	7.200	6.800	0.4	1.166
449	巫婆	3.600	5.000	0.8	1.265
3523	順當	5.700	3.200	0.4	1.166
2066	進取	6.400	4.800	0.49	1.47
5470	乾硬	2.900	5.200	0.894	1.204
4009	行得通	6.800	6.000	0.837	0.707
4877	禍國殃民	2.700	5.500	0.671	2.092
4607	嗤之以鼻	2.700	4.700	1.204	1.565
249	凶	2.800	7.200	1.166	0.98
3435	昌盛	7.100	5.600	1.114	0.8
4106	委靡	2.300	4.400	0.671	0.822
515	和善	7.000	3.000	0.0	1.095
3263	熟慮	5.900	5.100	0.663	1.02
1348	慶幸	6.400	6.000	0.49	1.095
4197	大剌剌	4.300	5.000	0.975	1.275
4476	蠢蛋	3.000	5.600	0.0	1.02
3956	鬱悶	2.600	3.900	0.894	1.432
2317	不如	4.200	3.400	0.75	0.8
3003	無庸	5.300	2.400	0.4	0.49
2650	脂肪	5.000	2.200	0.0	1.47
4712	滾蛋	1.600	8.400	0.894	0.894
5251	無語	4.400	1.900	0.418	1.746
5207	見死不救	2.200	5.800	0.758	1.643
132	仇敵	2.000	7.600	0.632	1.02
4459	可信任	7.800	5.800	0.748	1.47
5181	養不起	3.100	3.200	1.517	1.304
3963	保佑	6.800	5.000	1.255	0.707
1529	艱鉅	3.200	7.200	1.166	0.748
975	陰暗	3.600	3.800	0.49	0.98
2445	高壓	4.200	5.000	0.4	1.1
110	垃圾	2.200	7.400	0.748	1.02
5145	暗淡	3.700	1.800	0.671	0.837
4601	過不去	3.800	4.200	0.758	1.525
2983	追根究底	5.600	5.000	0.8	1.703
3132	爆炸物	4.000	7.100	1.095	0.663
2532	瓦解	3.600	5.400	0.49	1.02
2867	墳墓	4.300	2.000	0.4	0.548
619	哀淒	2.600	5.600	0.8	2.154
3718	鼻塞	3.200	2.800	1.151	0.837
3492	言歸於好	6.200	4.000	0.678	0.894
4916	黑手	4.500	2.600	0.866	1.517
4267	貨真價實	7.800	5.600	0.866	1.517
2820	潛入	4.500	3.300	0.447	1.47
3068	過節	3.700	5.000	0.4	1.14
3334	撕毀	3.300	5.400	0.748	1.828
5350	斷掉	4.400	3.800	0.652	1.304
1084	無望	2.800	4.800	0.4	1.327
3402	簡樸	6.000	3.100	0.447	1.241
248	公憤	2.400	8.000	0.8	0.894
3614	欲振乏力	3.000	3.800	0.707	0.837
3616	猝死	1.000	8.000	0.0	1.225
2307	命令	4.200	5.400	0.75	0.8
4837	以牙還牙	3.100	6.200	1.517	1.891
1002	喝采	7.400	7.000	0.49	1.095
3476	可親	5.900	3.900	0.663	1.02
3598	順耳	5.900	5.000	1.025	1.225
1576	嚴格	3.800	6.800	1.6	1.166
4238	褪色	3.500	3.000	1.6	1.166
4929	老娘	4.300	6.400	0.975	1.949
4122	大好	8.500	7.700	0.5	1.204
3235	勤勉	6.600	4.400	0.735	0.49
3010	嘟嘟	5.000	2.400	0.0	0.8
2964	接濟	4.900	3.100	0.8	1.02
2707	攻佔	4.600	5.600	1.2	0.8
210	歡迎	7.200	6.400	0.4	0.8
505	受惠	7.000	5.400	0.0	1.02
3520	日久生情	6.500	5.400	0.447	0.97
3938	曠日廢時	2.600	3.600	1.14	1.342
4305	手癢	4.200	6.600	1.525	0.962
4045	衰落	2.300	3.100	0.837	1.14
2153	正大	6.000	3.400	0.63	1.02
2697	斷裂	3.600	5.200	0.8	1.33
4388	其貌不揚	3.000	3.700	1.118	0.57
129	八卦	3.400	4.600	0.49	1.855
2691	壓倒性	5.200	6.200	0.75	1.6
1013	富有	7.200	4.800	0.4	1.6
3064	大亂	3.200	7.600	0.748	0.49
721	值錢	6.200	5.600	0.748	1.2
2506	相反	4.800	3.800	0.4	1.17
1395	獎	6.800	5.200	0.4	1.327
2541	動武	3.400	6.000	0.49	0.63
4039	走投無路	1.200	6.700	0.447	1.396
246	元兇	2.200	6.400	0.748	1.96
2756	瀰漫	4.600	3.000	0.49	1.1
1534	褻瀆	2.400	7.600	1.02	1.02
3925	愛戴	7.100	5.600	0.548	1.673
5169	深仇大恨	1.600	7.200	0.652	1.643
5315	乖僻	4.700	3.000	0.837	1.458
3935	無神	3.900	2.400	0.742	1.14
640	怒目	2.600	8.000	0.49	0.632
1572	願	6.000	5.000	0.632	1.673
1052	惡運	2.800	6.000	0.4	0.894
782	真相	6.400	5.400	1.02	1.497
2495	辭呈	3.400	4.200	0.8	1.47
4159	老少咸宜	6.800	3.000	1.095	1.225
701	英俊	6.600	4.400	0.8	2.059
770	狹隘	3.800	4.200	0.4	1.47
608	信譽	7.000	5.400	0.0	1.625
513	咆嘯	3.600	8.000	1.356	0.632
3176	抒情	5.900	3.300	0.2	0.4
900	淨土	5.400	3.200	0.49	1.6
3490	甜甜蜜蜜	7.100	6.700	0.374	0.6
5381	忿恨	3.000	6.100	1.0	1.14
5383	屈辱	2.900	4.900	0.894	1.432
847	偷取	2.400	6.400	0.8	1.02
1337	噁	2.400	6.000	0.8	0.894
5199	乘勝追擊	6.800	7.300	1.304	1.204
2888	飲恨	3.800	5.800	0.748	1.166
4211	風情萬種	7.500	7.100	0.866	1.14
3891	龐雜	3.600	5.000	0.418	1.225
1520	聰明	7.000	4.800	0.632	2.315
4854	硬逼	3.900	5.500	0.822	2.121
5450	妖豔	5.800	5.500	1.681	1.225
1165	愛情	7.000	5.800	0.0	1.6
5119	冒冒失失	3.700	4.300	1.204	2.439
434	壯麗	7.000	6.400	0.632	1.744
1610	驕傲	4.800	6.400	1.6	1.02
3380	失落	3.000	3.300	0.949	1.249
3547	精神百倍	7.500	7.400	0.894	0.735
4481	低沈	4.600	3.400	0.49	1.855
5481	晶瑩剔透	7.800	6.500	0.908	1.225
4243	超值	8.200	7.100	0.908	1.225
4641	更壞	2.700	3.600	1.204	1.342
5412	折舊	4.000	3.400	1.275	1.294
92	擔心	3.400	6.600	0.49	0.8
5191	浪蕩	3.400	4.800	0.894	1.151
71	玩	5.600	5.800	1.497	0.98
3987	遺忘	3.300	3.600	0.671	1.817
3037	誇獎	6.300	5.200	0.6	1.03
1342	嬌弱	3.800	3.400	0.4	1.497
5503	皺裂	2.000	5.500	0.707	0.866
8	不幸	2.600	6.000	0.49	1.549
2601	投降	3.600	5.000	0.49	0.63
1790	習慣	5.000	3.000	0.0	1.41
414	佔便宜	3.600	4.400	0.49	1.356
3736	駝背	3.100	2.500	0.548	1.581
645	怒罵	1.800	8.800	0.748	0.4
747	恭維	5.000	4.600	0.632	1.356
3613	詭異	2.700	6.100	0.837	1.342
1852	慎重	5.600	3.800	0.49	2.04
5208	退避	4.100	3.200	0.742	1.924
4406	叱責	2.600	6.300	0.374	1.03
3557	夠格	7.400	6.800	1.14	1.304
2729	拖欠	3.600	4.400	0.49	0.8
1920	趣味	5.800	4.200	0.4	1.17
3575	處變不驚	5.900	5.400	0.894	0.962
2075	不爭	4.400	3.400	0.49	1.74
157	侮辱	2.400	7.600	1.02	0.8
4370	更勝一籌	7.300	6.400	0.975	1.294
948	羞愧	2.800	7.200	0.748	0.748
2525	特權	4.400	4.600	0.49	1.2
3047	驅散	3.800	5.200	0.678	0.748
1966	良心	6.000	3.400	0.0	1.36
114	淫婦	1.800	7.800	0.4	1.166
1262	厭食	2.800	5.200	0.4	2.04
479	狂喜	8.600	8.800	0.49	0.4
4532	陷住	3.800	5.600	0.758	1.475
2113	想像力	5.400	4.000	0.8	1.67
833	逆向	4.000	4.400	1.095	2.059
4255	當機	3.500	4.000	1.095	2.059
2758	受難	3.000	5.800	0.63	1.17
2392	過多	3.800	4.400	0.75	1.2
3269	牢靠	6.200	5.100	0.4	1.281
4397	冷靜下來	5.200	4.400	0.4	2.245
1901	充裕	6.200	4.000	0.4	1.26
4411	刺耳聲	2.600	6.900	1.084	1.245
897	淚流滿面	2.000	7.800	0.894	0.748
5024	含沙射影	3.300	4.100	0.975	2.191
5471	乾裂	2.500	5.700	0.935	1.151
4086	純正	6.600	3.400	0.894	1.475
2581	削弱	4.000	4.600	0.0	0.8
1848	突出	5.600	5.000	0.8	1.1
5271	胡說八道	3.400	4.800	1.084	1.525
3898	曬傷	3.200	6.400	0.908	1.517
2201	自如	5.200	2.800	0.4	1.33
3181	衝勁	6.800	7.000	0.98	0.837
4815	瘋人	3.900	6.000	0.418	1.969
2821	定罪	4.100	4.700	1.685	1.077
4173	後悔莫及	2.400	7.300	0.894	0.671
4998	呆笨	3.300	3.900	0.447	1.884
360	安逸	6.000	3.400	0.632	1.497
3026	大無畏	6.100	5.000	0.8	0.949
1324	酸	4.600	4.800	0.49	0.98
1642	靈敏	6.600	4.200	1.02	1.166
3682	過冷	2.900	4.700	1.025	1.483
4471	做假	3.400	5.300	0.49	0.872
4100	多慮	4.600	5.500	0.962	1.541
3464	雄辯	5.400	6.300	1.393	1.327
4997	盜賊	3.300	3.800	1.351	1.643
5328	含恨	2.200	6.500	0.57	1.658
1817	道德	5.600	3.400	0.49	1.02
4575	不可名狀	6.000	5.600	1.0	1.342
3764	漫長	3.700	3.000	0.447	1.414
3014	互敬	5.800	3.300	0.748	0.4
642	怒吼	2.000	8.800	0.894	0.4
2678	清算	3.800	5.600	0.75	1.36
3275	討人喜歡	7.400	5.900	1.068	1.685
3468	謙遜	6.400	3.500	0.86	0.775
4515	離鄉背井	3.800	5.100	0.837	1.025
1330	僵住	3.800	3.600	0.748	1.744
3626	勞民傷財	2.700	5.500	0.671	1.414
2026	歡慶	6.800	6.000	0.75	0.63
2257	排除	4.200	4.400	0.75	1.2
4768	惆悵	3.600	3.300	0.894	1.151
5440	不黏	6.000	3.700	0.612	1.151
4649	自吹自擂	4.200	5.100	0.447	1.245
1476	踴躍	6.800	6.800	0.4	0.4
1551	壞死	2.800	5.000	0.748	1.897
3551	悽慘	1.700	6.100	0.447	1.245
283	火熱	6.400	7.200	1.2	1.166
5382	清涼	5.200	2.600	0.57	1.387
213	戀人	7.000	5.800	0.0	1.47
2742	掩飾	4.400	3.200	0.49	1.17
4571	愁容滿面	2.900	4.200	1.245	1.891
3553	一舉數得	7.400	6.300	1.084	1.304
488	邪惡	2.400	6.600	0.8	1.356
2563	延緩	4.600	3.000	0.49	1.1
4593	孤僻	3.100	2.500	1.025	1.581
2661	耗費	4.400	3.400	0.49	0.8
4902	短缺	4.100	3.500	0.894	1.323
949	羞憤	2.200	7.800	0.4	0.4
1145	傷悲	3.000	6.000	0.632	0.894
4730	打偏	4.000	2.700	1.173	1.681
4026	好命	7.400	3.300	0.894	1.204
3586	游刃有餘	7.600	5.000	1.194	1.541
4353	汗流浹背	4.700	6.500	0.447	1.118
1687	穩定	6.000	3.400	0.89	1.36
4379	見效	6.500	5.800	0.935	1.44
1053	惡夢	3.000	6.800	0.632	0.748
2869	走下坡	4.000	3.600	0.0	0.735
4448	違悖	3.000	4.800	0.632	1.47
2093	出名	6.200	4.800	0.75	1.94
4040	刺鼻	2.300	6.500	1.204	1.225
4099	如願以償	7.300	5.800	0.837	1.483
5002	倚老賣老	3.300	4.000	0.671	1.871
2338	屍體	3.000	3.800	1.26	1.94
1768	遵守	5.200	3.000	0.4	1.1
253	分紅	6.200	4.400	0.748	1.625
2531	不肖	3.000	5.800	0.63	0.75
3442	報恩	6.300	4.600	0.6	1.625
4903	屁用	3.600	5.300	0.652	1.44
2239	尚未	4.400	3.000	0.8	1.26
2999	富麗堂皇	6.100	4.200	0.663	2.135
5177	認命	4.300	1.400	0.57	0.894
1043	惡劣	2.600	6.800	0.8	1.166
3065	退縮	3.600	4.300	0.49	1.077
4973	假惺惺	3.400	4.000	0.548	1.871
2087	自白	5.000	3.200	0.0	1.33
5028	口渴	4.600	4.100	0.894	2.133
2225	無法	4.000	4.000	0.63	1.67
3970	萌	7.100	5.600	0.418	1.14
4283	輕薄短小	6.700	4.000	0.418	1.14
4195	平實	5.200	3.500	0.274	1.5
5341	吵到	4.000	4.800	0.612	0.57
867	強烈	4.800	7.800	0.4	0.748
4996	冷冷	4.000	3.200	0.707	2.08
4059	天公不作美	2.400	3.100	1.14	1.342
2649	絲毫	4.800	2.600	0.4	1.36
3446	高高興興	7.800	7.200	0.51	0.748
2421	暗示	4.800	3.600	0.4	1.02
3335	退步	3.400	4.100	0.583	1.625
4671	帶衰	1.600	6.200	0.894	1.643
4638	耐震	6.200	1.400	1.304	0.548
19	不祥	2.800	5.200	0.4	1.166
5319	正常化	5.100	2.300	0.224	1.304
