No.	Word	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
82	幹	1.000	8.800	0.0	0.4
83	愛	8.200	5.400	0.748	2.939
84	愛好	7.000	5.600	0.0	1.2
85	感謝	7.400	5.600	0.49	1.744
86	損失	3.200	5.200	0.4	0.4
87	經歷	5.000	4.800	0.0	0.98
88	遇到	5.000	4.200	0.0	0.98
89	遊戲	5.800	4.800	1.166	1.72
90	鼓勵	7.000	6.200	0.0	0.748
91	適合	5.600	3.800	1.02	1.47
92	擔心	3.400	6.600	0.49	0.8
93	輸	3.000	4.400	0.894	1.2
94	錯過	3.600	4.400	0.49	0.8
95	幫忙	6.400	5.000	0.49	1.095
96	幫助	6.600	5.600	0.49	1.02
97	應付	4.200	5.400	0.4	1.625
98	謝謝	6.600	5.800	0.8	0.748
99	懷念	6.000	5.600	0.632	1.356
100	關心	6.400	6.000	0.49	0.894
101	關懷	6.800	6.400	0.4	1.2
102	贏	7.200	7.000	0.98	1.265
103	贏得	7.400	7.000	1.02	1.265
104	下流	2.200	7.600	0.748	1.2
105	王八蛋	1.400	8.600	0.49	0.49
106	他媽的	1.400	8.400	0.49	0.8
107	白目	2.200	7.200	0.748	1.166
108	白癡	2.200	7.400	0.748	1.02
109	呸	2.400	7.400	0.8	1.02
110	垃圾	2.200	7.400	0.748	1.02
111	怪胎	2.400	7.000	0.8	1.414
112	放屁	2.600	7.000	1.02	1.673
113	狗屁	2.400	7.600	1.02	1.02
114	淫婦	1.800	7.800	0.4	1.166
115	混蛋	2.000	8.000	0.894	0.894
116	笨蛋	3.000	5.600	0.0	1.02
117	媽的	2.200	7.600	0.748	1.02
118	愚蠢	2.800	6.000	0.4	1.673
119	該死	2.600	7.600	1.02	1.2
120	賤	2.200	7.200	0.98	1.166
121	賤人	2.000	7.800	0.632	0.98
122	賤貨	1.800	8.200	0.748	0.748
123	操	2.000	8.000	0.632	0.894
124	蕩婦	1.800	7.800	0.748	0.98
125	蹩腳	3.600	5.200	0.8	1.939
126	壞蛋	3.000	6.400	0.632	1.356
127	爛貨	2.200	6.800	0.748	1.72
128	白痴	2.400	6.400	0.8	1.625
129	八卦	3.400	4.600	0.49	1.855
130	仇人	2.200	7.200	0.4	0.98
131	仇恨	2.200	7.800	0.748	0.748
132	仇敵	2.000	7.600	0.632	1.02
133	分擔	5.600	4.400	0.49	1.356
134	友	6.400	4.200	0.49	0.98
135	反駁	3.800	6.400	0.4	0.49
136	打岔	3.800	4.200	0.4	1.47
137	打架	2.600	7.600	0.49	0.49
138	打斷	4.000	4.600	0.632	1.855
139	交往	6.400	5.200	0.49	1.72
140	同情	5.400	4.200	0.8	0.98
141	安心	5.600	2.400	0.49	1.497
142	伴侶	7.000	4.600	0.0	2.245
143	忌妒	3.000	6.800	0.632	0.98
144	批評	3.200	7.600	0.748	0.49
145	抗議	3.200	7.800	0.748	0.748
146	取笑	3.600	6.200	0.49	0.748
147	坦白	6.000	5.600	0.632	1.02
148	奉承	3.600	5.600	0.49	1.2
149	奉獻	6.800	6.000	0.4	0.894
150	抱怨	2.800	6.600	0.4	0.49
151	拒絕	3.000	6.600	0.632	1.02
152	放心	6.200	3.200	0.4	1.327
153	朋友	6.800	4.200	0.748	1.166
154	爭吵	3.400	6.600	0.49	1.02
155	爭論	3.800	6.600	0.748	0.8
156	知己	7.200	4.800	0.4	1.327
157	侮辱	2.400	7.600	1.02	0.8
158	信服	6.400	5.400	0.49	0.8
159	信賴	7.200	5.400	0.4	1.497
160	冒犯	3.200	7.000	0.748	0.894
161	怨恨	2.000	7.800	0.632	0.4
162	指責	3.400	6.800	0.49	0.4
163	原諒	5.800	4.200	0.98	1.47
164	辱罵	2.400	7.000	1.02	1.673
165	鬥爭	3.000	7.400	0.632	0.49
166	情人	6.800	6.600	0.98	0.49
167	甜心	6.800	6.000	0.748	1.414
168	責備	3.400	6.400	0.49	0.8
169	逗弄	5.400	5.400	1.02	1.02
170	插嘴	3.600	5.600	0.49	1.497
171	款待	6.200	5.400	0.4	1.356
172	詛咒	2.200	7.400	0.98	1.02
173	開玩笑	6.200	5.200	0.748	1.166
174	閒話	4.000	4.400	0.632	1.356
175	愛人	7.200	6.800	0.4	1.166
176	愛戀	7.600	6.800	0.8	0.4
177	隔離	3.400	5.000	0.49	1.414
178	嘉獎	6.800	5.800	0.4	0.748
179	稱讚	6.800	6.000	0.4	0.632
180	說服	5.000	4.200	0.632	1.47
181	說長道短	3.200	5.000	0.4	0.894
182	駁斥	2.800	7.200	0.748	0.4
183	嘲弄	2.600	6.200	0.8	0.748
184	嘲笑	2.600	6.600	0.8	0.49
185	嘲罵	2.600	7.400	0.8	0.8
186	嘲諷	2.600	7.400	0.49	0.8
187	寬恕	6.200	4.600	0.4	1.356
188	慶典	6.600	5.600	0.49	1.497
189	慶祝	7.000	6.400	0.0	1.2
190	憐憫	5.800	5.000	1.166	1.414
191	摯友	7.400	5.200	0.49	1.833
192	敵人	3.000	6.000	0.632	1.549
193	樂意	6.800	5.400	0.4	1.625
194	熱愛	7.200	7.000	0.4	0.632
195	調情	5.400	6.800	1.356	0.748
196	諂媚	3.400	5.600	0.49	1.356
197	親切	7.000	5.000	0.632	1.549
198	親愛	7.400	6.000	0.49	1.265
199	親愛的	7.200	6.400	0.4	1.356
200	幫手	6.400	4.800	0.49	0.98
201	戲弄	3.400	6.200	0.49	0.98
202	鍾愛	7.000	6.600	0.632	1.497
203	歸咎	3.200	5.600	0.4	0.49
204	離婚	2.400	5.800	1.02	1.327
205	懷疑	3.800	4.400	0.4	0.49
206	譏	3.200	6.000	0.4	0.894
207	寶貝	7.400	6.400	0.8	1.02
208	饒恕	5.600	5.000	0.8	1.789
209	譴責	3.000	7.200	0.632	0.4
210	歡迎	7.200	6.400	0.4	0.8
211	歡送	6.000	6.200	0.632	1.166
212	歡聚	7.200	6.200	0.98	1.47
213	戀人	7.000	5.800	0.0	1.47
214	戀愛	7.600	6.400	0.8	1.625
215	讚美	7.000	5.600	0.632	1.855
216	讚揚	7.600	6.600	0.49	1.855
217	讚譽	7.600	6.800	0.49	1.72
218	ㄏㄏ	5.800	4.600	0.4	1.625
219	一無所有	2.400	4.400	1.02	2.245
220	七竅生煙	2.200	7.800	1.166	1.166
221	了不起	7.000	6.400	1.095	0.8
222	人心惶惶	2.600	7.400	1.02	1.02
223	上級	4.800	4.400	0.4	1.744
224	上當	3.200	6.200	1.166	1.72
225	下定決心	6.200	6.800	0.748	1.6
226	口吃	3.800	4.000	0.748	1.673
227	大方	6.400	5.200	0.49	1.166
228	大笑	6.400	6.800	1.02	0.4
229	大膽	5.400	6.200	0.49	1.47
230	小氣	3.600	4.600	0.49	1.356
231	小偷	3.200	5.600	0.748	1.497
232	才能	6.600	4.600	0.8	1.356
233	才智	7.000	4.600	0.632	1.356
234	不仁	3.000	5.800	1.095	1.166
235	不貞	2.800	6.800	0.98	1.327
236	不顧一切	4.600	7.800	1.02	0.98
237	中斷	4.600	3.600	0.49	1.744
238	仁心	7.400	5.200	0.49	2.315
239	仁術	7.400	5.000	0.49	2.28
240	仁愛	7.800	5.200	0.4	2.638
241	仁慈	7.800	5.200	0.748	2.638
242	仁義	7.400	5.400	0.49	2.417
243	仇	2.400	6.000	1.02	0.894
244	仇殺	1.400	8.200	0.49	0.748
245	仇視	2.000	7.600	0.632	1.02
246	元兇	2.200	6.400	0.748	1.96
247	內疚	3.000	5.000	1.095	2.098
248	公憤	2.400	8.000	0.8	0.894
249	凶	2.800	7.200	1.166	0.98
250	分心	4.000	4.400	0.632	2.417
251	分手	2.800	6.400	1.166	1.855
252	分歧	3.200	5.600	0.748	1.625
253	分紅	6.200	4.400	0.748	1.625
254	分散	4.400	3.800	0.8	1.47
255	分裂	3.600	5.800	0.8	2.04
256	勾引	3.800	6.400	0.4	0.8
257	厄運	3.000	5.800	0.632	1.47
258	及時	6.400	5.400	0.49	1.02
259	反抗	3.600	6.600	0.8	0.8
260	反叛	2.800	6.400	0.98	2.154
261	反派	3.200	5.000	0.4	1.673
262	反感	3.600	5.200	0.49	1.47
263	反對	3.400	6.200	0.8	1.166
264	天才	6.800	5.400	0.4	0.8
265	天堂	7.000	5.400	0.894	1.625
266	天資	5.800	4.400	0.748	1.744
267	天賦	6.000	4.400	0.894	1.744
268	幻想	4.600	4.200	0.49	0.98
269	引人注目	5.800	6.400	0.98	0.49
270	引誘	3.800	6.400	0.748	1.02
271	心灰意冷	2.800	3.600	0.4	1.744
272	心神不定	3.200	6.600	0.4	0.8
273	心神不寧	3.200	6.800	0.4	0.748
274	心情	5.000	3.600	0.0	1.744
275	心痛	2.600	7.200	1.02	0.98
276	心愛	7.200	6.400	0.98	1.497
277	心煩意亂	3.000	7.400	0.632	0.49
278	心碎	2.200	8.000	0.748	0.894
279	心酸	2.800	6.800	0.748	1.47
280	支配	4.600	5.200	0.49	0.748
281	欠債	3.400	4.600	0.49	1.02
282	毛骨悚然	2.200	8.000	1.166	0.894
283	火熱	6.400	7.200	1.2	1.166
284	世仇	1.800	8.200	0.748	0.4
285	乏味	3.400	3.000	0.8	1.414
286	仔細	6.200	3.800	0.748	1.166
287	充沛	6.600	6.000	0.49	1.095
288	出色	7.200	5.600	0.4	1.497
289	功勞	6.800	5.400	0.748	1.96
290	古怪	4.200	4.800	0.4	0.748
291	可口	6.400	5.800	0.49	0.98
292	可怕	3.400	6.800	0.49	0.4
293	可恥	2.400	7.200	1.02	0.98
294	可笑	3.000	6.600	0.632	0.8
295	可悲	2.600	6.400	0.49	1.02
296	可惡	2.400	7.200	0.8	1.166
297	可愛	7.000	6.200	0.632	1.166
298	可鄙	2.400	7.400	0.8	0.8
299	可憎	2.400	7.200	0.8	1.166
300	可憐	3.600	5.200	0.49	1.47
301	可靠	6.800	5.200	0.748	1.327
302	外向	6.000	5.800	0.632	1.166
303	外行	3.800	4.600	0.4	1.356
304	外傷	3.600	6.200	1.02	1.166
305	失眠	3.000	3.600	0.894	1.855
306	失控	2.400	7.800	1.02	0.748
307	失望	3.000	5.600	0.632	1.356
308	失誤	3.600	5.400	0.49	1.625
309	平安	7.200	3.400	0.4	1.497
310	平和	7.000	2.800	0.632	1.72
311	平庸	4.600	3.000	0.8	1.414
312	平靜	6.400	2.400	1.02	1.497
313	平穩	5.800	3.400	0.4	1.356
314	打仗	3.000	7.600	0.894	0.49
315	打倒	3.400	6.600	0.49	1.02
316	打破	4.000	6.200	0.632	1.166
317	打情罵俏	4.600	6.600	0.49	0.8
318	打敗	6.200	6.000	1.166	0.894
319	打擊	4.200	6.800	0.748	1.327
320	打擾	3.600	5.600	0.49	2.059
321	打攪	3.600	5.600	0.49	2.059
322	末日	1.800	6.800	0.748	2.227
323	正面	6.600	4.600	0.49	1.356
324	生命力	6.800	5.800	0.748	1.166
325	生氣	5.400	5.800	1.625	1.47
326	生氣勃勃	7.000	6.800	0.0	1.6
327	生病	3.400	4.000	0.49	0.894
328	生動	6.400	5.800	0.49	0.98
329	生疏	3.800	3.400	0.4	1.356
330	生厭	3.400	5.800	0.49	1.166
331	用力	5.000	7.000	0.0	0.0
332	目瞪口呆	5.000	7.400	0.0	1.356
333	矛盾	4.200	4.600	0.4	1.356
334	丟人	2.800	6.000	0.4	1.095
335	丟人現眼	2.400	6.800	0.8	0.98
336	丟下	2.800	5.400	1.166	2.245
337	丟棄	3.000	5.600	1.095	1.96
338	丟臉	3.000	5.800	0.632	1.6
339	交戰	4.000	7.400	0.632	0.8
340	任性	3.400	5.400	0.49	1.356
341	兇	3.400	7.200	0.8	0.748
342	光亮	5.800	4.600	0.748	1.625
343	光榮	6.800	6.200	0.4	1.166
344	光輝	6.600	5.800	0.49	1.166
345	劣	3.000	5.000	0.894	0.632
346	危	3.200	6.600	0.98	1.02
347	吃醋	3.600	6.600	0.49	0.8
348	吃驚	3.800	7.800	1.166	0.4
349	合宜	6.200	4.400	0.4	1.625
350	回春	6.200	4.800	0.4	1.6
351	多情	4.200	6.000	1.327	1.095
352	多疑	3.800	6.000	0.4	0.632
353	好玩	6.200	5.800	0.4	1.166
354	好笑	6.200	6.400	0.748	0.8
355	好處	6.200	5.000	0.4	1.673
356	好棒	7.200	6.600	1.166	1.356
357	好運	6.600	5.200	0.49	1.72
358	妄想	3.200	6.000	0.748	1.414
359	安全	6.400	4.400	0.49	1.2
360	安逸	6.000	3.400	0.632	1.497
361	安寧	6.200	2.800	0.748	1.327
362	安靜	5.600	2.400	0.8	1.497
363	安穩	6.000	2.600	0.632	1.625
364	成見	3.800	5.200	0.4	1.327
365	成就	7.000	6.200	0.0	1.47
366	收穫	6.800	5.600	0.4	1.497
367	曲解	3.400	6.000	0.49	1.414
368	有力	6.000	6.000	0.894	0.894
369	有用	6.400	5.200	0.49	1.327
370	有利	5.800	5.400	0.98	1.356
371	有助	6.400	5.200	0.49	1.6
372	有害	3.400	5.600	0.49	1.02
373	有效	6.600	5.000	0.8	1.549
374	有益	6.600	5.000	0.8	1.549
375	有趣	7.000	5.600	0.632	1.497
376	有錢	6.400	5.400	0.49	1.855
377	次要	4.600	5.000	0.49	1.095
378	次等	4.000	4.600	0.0	0.8
379	死人	2.200	7.000	0.748	1.414
380	死亡	2.200	6.800	0.748	1.47
381	死不	3.800	5.600	1.304	0.894
382	死心	2.400	5.800	0.49	2.227
383	死刑	2.400	7.200	1.02	1.327
384	死氣	3.000	5.800	0.632	1.72
385	死期	2.800	6.600	1.166	1.625
386	死當	3.000	6.400	1.095	1.497
387	死路	3.200	5.000	0.98	1.673
388	死對頭	2.600	7.400	1.356	1.02
389	污穢	2.400	7.200	1.2	0.98
390	灰心	3.600	4.600	0.49	1.356
391	百感交集	3.400	7.200	1.02	0.98
392	自大	3.000	6.600	0.632	1.497
393	自甘墮落	2.600	5.200	0.8	1.939
394	自由	6.600	5.200	0.49	1.939
395	自在	6.800	4.600	0.748	2.245
396	自私	3.200	4.600	0.748	0.8
397	自卑	2.600	3.800	0.8	1.47
398	自信	7.000	5.600	0.632	1.02
399	自負	4.600	6.000	1.2	1.095
400	自責	3.600	5.200	0.8	1.166
401	自尊	5.400	4.800	0.49	1.6
402	自豪	6.600	6.000	0.49	0.894
403	自鳴得意	4.200	5.000	0.4	1.897
404	自暴自棄	2.000	7.000	0.894	2.098
405	至高無上	7.600	6.800	1.2	1.47
406	至善	7.600	6.000	0.8	2.191
407	色情	2.800	6.200	0.98	1.72
408	伶俐	6.800	5.000	0.748	1.673
409	低沉	4.600	3.400	0.49	1.855
410	低能	2.600	4.600	0.8	1.855
411	低能兒	2.600	4.800	1.02	1.6
412	低迷	3.600	3.200	0.8	1.47
413	低落	3.800	3.000	0.4	1.414
414	佔便宜	3.600	4.400	0.49	1.356
415	作嘔	2.600	7.400	1.02	1.02
416	作弊	2.000	6.400	1.095	1.497
417	克制	5.000	5.000	0.632	1.673
418	免費	6.200	4.800	1.166	2.135
419	冷	3.600	4.400	1.02	0.8
420	冷淡	3.000	3.600	0.632	0.8
421	冷酷	2.400	5.400	1.02	1.855
422	冷靜	5.200	4.400	0.4	2.245
423	利己	5.600	4.800	1.02	0.98
424	利益	6.200	5.000	0.748	1.673
425	利潤	6.600	5.400	0.8	1.625
426	吝嗇	3.400	4.600	0.8	1.02
427	含糊	3.800	4.200	0.4	0.98
428	吹毛求疵	3.200	5.600	0.4	0.8
429	吻	7.200	7.600	0.98	0.8
430	呆	3.800	3.800	0.748	1.6
431	困	3.800	4.400	0.748	1.497
432	坎坷	2.000	4.800	0.632	2.561
433	壯闊	6.800	6.000	0.748	1.549
434	壯麗	7.000	6.400	0.632	1.744
435	壯觀	7.000	6.800	0.632	1.327
436	妓女	2.800	4.800	0.98	1.327
437	妨害	2.600	6.200	1.02	0.748
438	妨礙	3.200	5.800	0.748	1.166
439	孝	7.200	4.000	1.166	1.265
440	孝順	7.400	5.400	1.02	1.625
441	孝敬	7.400	5.400	1.02	1.02
442	完美	7.600	6.400	0.8	1.744
443	完備	6.800	4.800	0.748	0.98
444	完善	6.800	4.600	0.748	1.356
445	宏大	7.000	6.000	0.632	0.894
446	宏偉	7.200	7.000	0.98	0.632
447	屁眼	1.800	5.600	1.166	1.356
448	岔開	4.000	4.200	1.095	1.72
449	巫婆	3.600	5.000	0.8	1.265
450	庇護	6.200	5.600	1.166	0.49
451	弄痛	3.000	6.400	1.265	1.497
452	弄壞	3.200	6.000	0.748	1.673
453	忍	3.800	5.000	0.748	1.673
454	忐忑	3.800	6.800	0.748	0.748
455	忘恩負義	1.800	7.800	1.166	0.98
456	快樂	7.200	6.400	0.4	0.8
457	扭曲	3.600	5.200	0.8	1.6
458	扶持	6.000	4.200	1.549	1.166
459	批判	2.600	6.800	0.49	0.4
460	把握	5.800	4.600	0.4	1.02
461	抑制	4.800	5.400	1.166	1.855
462	抑鬱	2.400	5.800	0.8	1.939
463	投入	6.000	5.200	0.894	1.833
464	抗爭	3.400	7.200	1.2	0.748
465	折磨	2.400	7.000	0.49	1.095
466	改善	6.600	5.200	0.49	1.327
467	改進	6.200	4.600	0.748	1.855
468	攻勢	5.200	6.400	0.4	1.2
469	攻擊	3.600	7.400	1.02	1.2
470	決心	6.400	6.600	0.49	1.02
471	決定	6.000	7.000	1.095	0.894
472	沉重	3.200	5.800	0.4	0.98
473	沉迷	3.000	5.200	0.0	1.47
474	沉著	6.400	3.200	1.02	1.166
475	災	2.000	5.600	0.894	1.744
476	牢騷	3.400	6.200	0.49	0.98
477	狂怒	1.600	8.600	0.49	0.49
478	狂笑	8.200	8.200	0.4	0.4
479	狂喜	8.600	8.800	0.49	0.4
480	狂暴	1.800	8.800	0.748	0.4
481	狂熱	4.600	8.800	1.356	0.4
482	狂躁	2.200	8.800	0.748	0.4
483	私生子	3.200	4.000	0.748	1.265
484	肝腸寸斷	1.600	8.000	0.8	1.549
485	良	6.400	4.800	0.49	1.6
486	走運	7.000	5.800	0.632	1.327
487	辛酸	2.800	6.000	0.748	1.414
488	邪惡	2.400	6.600	0.8	1.356
489	享受	6.600	4.800	0.49	1.327
490	佳	6.400	4.600	0.49	0.8
491	使勁	4.600	6.400	1.356	0.8
492	依戀	5.600	5.600	1.356	1.855
493	典範	7.200	5.400	0.748	1.625
494	刺眼	3.200	5.600	0.748	2.059
495	刺痛	2.800	6.600	0.98	1.497
496	刺傷	2.800	7.000	1.166	1.265
497	刺激	4.200	8.000	1.166	0.632
498	刻薄	2.800	6.600	0.748	1.02
499	卑劣	2.000	8.000	0.632	0.632
500	卑鄙	1.800	8.200	0.748	0.748
501	受不了	3.000	7.400	0.632	0.8
502	受苦	3.000	6.000	0.632	0.894
503	受虐	1.800	8.000	0.4	0.632
504	受害	1.800	7.800	0.748	0.748
505	受惠	7.000	5.400	0.0	1.02
506	受傷	2.800	5.400	0.748	1.02
507	受罪	2.800	6.800	0.4	0.4
508	受騙	3.000	6.400	0.632	1.02
509	周到	6.600	4.400	0.49	1.2
510	呵呵	6.000	4.600	0.632	1.855
511	呼天搶地	1.800	8.800	0.748	0.4
512	命運	4.800	4.400	0.4	1.744
513	咆嘯	3.600	8.000	1.356	0.632
514	和平	6.400	3.200	0.8	1.6
515	和善	7.000	3.000	0.0	1.095
516	和煦	6.800	4.000	0.4	1.265
517	和睦	6.600	4.200	1.02	1.47
518	和諧	7.200	3.400	0.748	1.356
519	和藹	7.400	3.400	0.49	1.356
520	咒罵	2.400	7.400	0.49	0.49
521	固執	3.400	5.400	0.49	1.96
522	坦率	6.600	4.600	0.49	1.497
523	坦誠	7.000	4.200	0.0	1.47
524	奇怪	4.200	5.200	0.4	0.4
525	奇特	5.400	5.400	0.49	0.49
526	孤	3.400	4.600	0.49	1.497
527	宜人	6.400	3.800	0.49	1.327
528	幸運	7.200	5.400	0.748	0.49
529	幸福	7.800	4.000	0.748	2.191
530	忠	7.000	5.400	0.632	0.8
531	忠心	7.400	6.200	0.49	1.166
532	忠孝	7.400	5.800	1.2	1.166
533	忠誠	7.200	5.800	1.166	1.47
534	忠實	7.000	5.800	1.265	1.47
535	忽略	4.000	3.800	0.0	1.6
536	忽視	3.200	4.800	0.4	1.6
537	怕	3.200	6.400	0.748	0.8
538	怕生	4.000	5.200	0.0	0.748
539	怕羞	4.200	5.400	0.4	1.356
540	怡人	6.000	4.200	0.0	1.6
541	性情	5.200	4.400	0.4	1.744
542	性騷擾	2.600	6.600	0.49	1.497
543	怪	3.400	4.800	0.49	1.47
544	怪異	3.600	5.000	0.49	1.414
545	怪誕	3.400	5.800	0.49	1.166
546	承擔	5.200	5.400	1.166	1.356
547	承諾	6.600	5.200	0.49	1.833
548	抨擊	2.800	7.200	0.748	0.748
549	抱歉	4.000	3.800	0.632	0.98
550	抵制	3.200	6.600	0.748	0.8
551	拉緊	5.200	5.600	0.4	0.8
552	拋棄	2.600	5.800	0.49	1.47
553	拙劣	2.600	6.200	0.8	1.72
554	放任	3.000	6.200	0.632	1.47
555	放棄	2.600	5.800	0.49	2.135
556	放肆	2.400	7.800	0.49	0.4
557	放縱	2.800	6.800	0.748	1.166
558	放鬆	6.200	2.000	0.748	0.894
559	昂貴	3.800	4.400	0.4	1.356
560	明亮	6.600	4.000	0.49	1.265
561	明智	7.200	4.400	0.4	1.625
562	昏沉	3.200	3.400	0.4	1.855
563	昏亂	3.400	5.200	0.49	1.327
564	昏頭	3.400	4.800	0.49	1.327
565	易怒	3.200	6.600	0.98	1.02
566	服從	5.400	3.800	0.49	1.47
567	枉然	3.400	4.200	0.49	1.6
568	果斷	6.000	6.000	0.632	0.632
569	欣欣	6.400	6.400	0.8	1.356
570	欣喜	7.000	7.000	0.632	0.632
571	欣然	6.400	6.200	0.49	1.327
572	欣慰	6.200	4.600	0.4	1.2
573	欣賞	6.800	5.600	0.4	1.02
574	歧視	2.800	6.800	0.4	0.748
575	沮喪	2.800	5.200	0.748	1.833
576	治療	5.400	3.800	1.02	1.833
577	沾沾自喜	4.600	6.000	1.2	1.095
578	泣	3.400	5.000	0.49	1.095
579	玩耍	6.200	5.800	0.748	1.47
580	玩笑	5.600	6.000	1.2	0.894
581	玩樂	6.200	6.600	1.327	0.49
582	知足	6.600	4.200	0.49	1.939
583	知識	6.600	3.400	1.02	1.855
584	空洞	4.000	3.200	0.632	1.166
585	空虛	3.000	4.200	0.632	1.166
586	花招	4.000	4.800	0.632	0.748
587	長處	6.800	4.800	0.4	1.47
588	非人	3.400	5.800	1.02	0.748
589	非禮	2.200	7.600	0.4	0.49
590	非難	3.200	5.600	0.4	0.8
591	侵犯	2.400	6.200	0.49	2.227
592	侵佔	2.600	6.600	0.49	1.855
593	侵害	2.400	7.200	0.49	0.748
594	侵略	2.400	7.800	0.49	0.748
595	侵擾	3.000	6.800	0.0	0.4
596	侵襲	2.600	7.800	0.49	0.4
597	侷促	4.000	5.600	0.0	1.497
598	俊美	6.600	4.600	0.49	1.356
599	俗	3.800	4.600	0.748	0.49
600	俗氣	3.800	4.400	0.4	0.8
601	保衛	5.800	6.400	0.4	0.49
602	保證	6.600	6.200	0.49	0.98
603	保護	6.800	6.800	0.98	0.4
604	信心	7.400	5.400	0.8	0.49
605	信奉	6.600	5.200	0.8	1.327
606	信義	7.000	5.400	0.632	0.8
607	信實	6.600	4.800	0.49	0.98
608	信譽	7.000	5.400	0.0	1.625
609	冒險	4.800	7.600	0.98	0.49
610	冠軍	8.000	7.400	0.0	0.49
611	勇氣	7.600	6.800	0.8	0.98
612	勇敢	7.400	6.600	0.8	0.49
613	勉強	3.800	5.000	0.748	0.894
614	叛亂	2.400	7.800	0.49	0.4
615	咬牙切齒	2.200	8.200	0.748	0.4
616	咯咯笑	6.400	5.800	0.49	1.166
617	哀求	2.800	5.600	0.4	1.497
618	哀怨	2.800	6.000	0.748	1.549
619	哀淒	2.600	5.600	0.8	2.154
620	哀痛	2.400	6.600	0.49	1.356
621	哀傷	2.400	5.400	0.49	1.96
622	哀愁	2.400	5.400	0.49	2.059
623	哀號	2.000	7.400	0.0	0.49
624	哀慟	1.800	7.600	0.4	0.49
625	品行	5.400	4.600	0.8	1.356
626	品德	5.200	4.200	0.4	1.72
627	哄騙	3.400	5.600	0.49	1.2
628	哈	5.800	5.200	0.748	1.327
629	哈哈	6.600	6.000	1.356	0.894
