No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
2110	但是在半導體工藝進入10nm之後，晶片製造難度越來越大，效能提升也越來越不明顯了，摩爾定律也多次被人質疑了，IC產業會不會就此終結在10nm以下節點了？	4.500	3.000	0.5	1.0	news
2425	無可避免的，當肝功能失調，身體會出現許多症狀，如牙齦流血、水腫、腸胃不適等，除此之外，其實失眠有時候也可能是肝功能不好的徵兆。	4.125	5.000	0.599	0.816	news
2507	卡哇伊嗲新奇駿天籟軒逸騏達逍客昂克賽拉CX5阿特茲天貓6.1特價16元，可參加滿2件9折，購買二件28.8元，合14.4元/件。	5.333	3.222	0.667	1.872	news
304	的確...內文最後一句身為同級車銷售龍頭的CAMRY車系，在推出新一代車型後，再度以十足地配備與安全防護，延續著車系廣受歡迎的最佳地位。	6.111	5.143	0.737	0.833	car
1327	曾經是「不被看好的孩子」，明道大學材料科學與工程學系吳信達助理教授以一顆永不放棄的心，突破困境，拿下準世界發明家獎「化學發明獎章」；他相信只要努力就會有收穫，那怕只是一顆小小的螺絲釘，也能開創一番大成就。	7.556	6.375	1.066	0.484	news
1515	完整的輔導資料尚未送進市府，可能因此導致蔡副市長有所誤解，校方今天將儘速上呈整份資料。	4.875	3.875	0.331	0.927	news
553	最滿意的是酒店提供的免費升標。	6.625	6.286	0.696	0.7	hotel
2080	但，小棲收到另外一個訊息，今年下半年會有另一場戰役發起，其中不排除會有大規模的品牌間聯合，只是攻守雙方換位了，貝殼進攻。	4.833	5.875	0.373	1.364	news
1964	北韓新領導人金正恩，曾在去年的一次演講中表示，不忠誠黨和首領的人，不管其軍事才能多麼傑出，都是沒有用的人。	4.000	3.714	0.816	1.578	political
2417	司法實務上，恐嚇檢察官均難逃嚴懲，一般人常打嘴砲，以開玩笑方式揶揄對方，但消遣目標若換成執法人員，小心因一時心直口快惹禍上身，反而吃上恐嚇罪，得不償失。	3.500	5.167	0.5	0.687	news
836	MM在做健美操，意外收穫：早餐比上次好很多，新加的番茄雞蛋捲很好吃。	6.875	4.333	0.781	1.491	hotel
1227	反過來，懷孕期間還可以請求學校依法保障產前假、產假、個別輔導、成績彈性計算、安排適當的親職教育等等。	6.125	4.429	0.927	0.728	news
2637	這顆被稱為J005311的恆星似乎已經從它的宇宙墳墓中死而復生，這是仙后座星座中兩顆死亡恆星相互碰撞的結果。	5.333	4.429	0.471	1.178	news
819	我司尊貴客戶預訂，週末入住行政樓層，28樓行政樓層落地窗戶，朝南房間視野很好，可以俯瞰延安西路高架，由於是頂層，高架的隔音也很好！	6.778	5.625	0.416	0.696	hotel
735	每次預定，該酒店總是聲稱無法保證安排安靜和有寬帶的房間，明顯不重視攜程的客人。	3.143	6.429	0.833	0.495	hotel
2170	在本週釋出令人感到驚豔的Zenfone6旗艦智慧機的同時，有關華碩新專利的曝光也被荷蘭科技部落格LetsGoDigital給挖出。	6.333	4.714	0.745	1.906	news
2909	當蘋果決定打造業內最最佳的專業級顯示器時，就意味著ProDisplayXDR的售價會超出許多人的接受能力。	4.375	3.000	0.484	1.414	news
1793	很明顯的國民黨是打算採取消耗戰的策略了要逼那些學生日久筋疲力竭之後	3.333	5.333	0.471	0.816	political
873	精緻，做工雖然比不上Z系列但是也算得上是筆記本中的上乘，而且在sony的本本裡性價比算比較出色的。	6.600	5.125	0.49	0.781	laptop
1256	直到去年十一月，她的父親突然檢查出肺腺癌末期，無疑是對她家人投下震撼彈，人生出現了前所未有的衝擊，打亂了她人生的秩序。	2.857	4.833	0.35	0.898	news
517	其實討論就好，也別針鋒相對...唉，說太多，等等我也會冠上護衛之名.	3.333	5.125	0.471	0.781	car
1996	難道他們不知道自己現在反對的東西在自己上臺後可能無法收拾?	3.444	5.000	0.956	0.577	political
1304	TPA改用「發條少女」奧莉安娜、「武器達人」賈克斯、「暗夜獵人」泛的快速突進組合，打了AZF一個措手不及。	6.250	5.500	0.829	1.025	news
279	讀《好媽媽勝過好老師》後，最大的感受是我知道自己錯了。	4.875	3.714	1.269	0.881	book
237	看到這些水結晶時的圖片，是震驚。	5.375	5.143	0.484	0.833	book
1957	300個小孩，只有12人幸運活了下來。	2.000	5.000	0.816	1.604	political
1201	長期關注ＴＰＡ的網友actr表示，ＴＰＡ的技術或團戰可能和其他隊伍在伯仲之間而已，但穩定度絕對比其他隊伍強，這個禮拜觀戰下來發現ＴＰＡ的失誤比其他隊伍少。	5.889	3.857	0.994	1.125	news
1554	高法院法官資格審查聽證，議員詢問高等法院法官安迪（AndiAzhar），是否應對強姦犯處以死刑。	5.125	5.429	0.927	1.294	news
248	夢想一旦實現就不在具備夢想的屬性，愛情亦如此！	4.714	4.875	0.7	1.269	book
2006	其中，有人幾乎就是國家元首代言者，有人則為觀眾監督政府不遺餘力，也有人在主播臺上插播另一半死訊時強忍悲痛，無論於公於私同樣搶眼。	4.571	5.143	1.05	1.884	news
2922	報告顯示，當蘋果因與高通的齷齪，將首次完全依賴英特爾晶片時，出現了很多意外，計畫不僅延遲，成品也無法與高通媲美。	2.556	5.000	1.165	1.0	news
1657	臺灣團結聯盟則是順勢續推罷免馬總統，黨主席黃昆輝說，臺灣不能再讓馬虛耗下去，馬英九已經無藥可救，唯有馬下臺，臺灣纔有救，他呼籲全民不分老少男女一起來連署。	3.333	6.857	0.667	0.639	political
2934	匯流新聞網記者李盛雯/臺北報報Uber快不行了，不只乘客哇哇叫，Uber司機也慘兮兮；大都會此時伸出友誼之手，提出?勵方案，祭出7萬2千元補貼Uber司機。	5.750	5.000	1.199	0.866	news
2309	福智臺南分苑長許啟春說明，一旦經典智慧深植於內心後，不僅能提升良好的待人處事能力，同時長養尊師敬道、孝悌感恩、自利利人的良善美德，成為奠基祥和世界的力量。	7.375	4.333	0.484	1.563	news
303	唱衰會讓人覺得很好笑耶...	3.889	4.444	0.737	1.165	car
908	附帶軟件比較充足，有送一年免費的殺毒軟件，驅動和VISTA光盤都有。	6.111	4.500	0.737	1.225	laptop
888	採用聯想全新高觸感鍵盤，新鍵盤無論在佈局、鍵帽形狀、鍵程手感上全部進行了人性化更新，不僅滿足輸入速度快、輸入正確率，更能滿足用戶輸入舒適的需求。	6.778	5.000	0.629	1.155	laptop
1138	但是壹電視發掘的少女團體「WeatherGirls」（氣象女孩）卻選擇在這個敏感時刻進軍日本，將在10月發行首張日文單曲，搶攻宅男市場。	5.375	4.625	0.484	1.218	news
1956	游擊隊倖存女孩莎拉：「很悲慘的是我11歲時就被哥倫比亞革命武裝遊擊隊性侵，過去11年我飽受他們虐待和剝削。	2.222	6.500	0.916	0.764	political
2824	隨著企業操作科技自動化的程度越來越高，原先封閉的環境可能為此與IT環境和網際網路連線，再加上駭客攻擊的門檻逐年降低，已非高不可攀。	5.286	5.250	1.161	1.92	news
1492	臺北暗殺星隊長陳匯中（MiSTakE）表示：「比賽中雖然一度陷入拉鋸，但經過調整，重新找回自己步調，最後能夠取得勝利很開心。	7.000	6.571	0.535	1.05	news
2512	衛生間、可變換的多功能餐廳、睡臥、壁櫃、吊櫃、灶臺、上下水、空調、電視，一應俱全，跟大型房車功能一樣。	5.667	4.500	0.471	1.118	news
925	美國聯邦調查局FBI)網路犯罪投訴中心IC3)發出警告，提醒Android系統用戶注意惡意木馬信件的問題。	4.143	4.286	0.639	1.03	laptop
1287	今晚7點在臺北信義威秀中庭廣場、臺中NOVA及高雄GAME休閒館高雄旗艦店，同步舉辦首賣會。	5.444	3.875	0.685	1.269	news
2937	面對紛繁多樣的物種，嬌美花朵，聽著浮雲的歡唱、飛鳥的低吟、山泉的傾訴、林木的心語......不禁想到創世主的無量慈悲與智慧。	5.889	3.000	0.737	1.7	news
2079	歷史從來都由勝利者書寫，五四運動不過也是一個任人打扮的小姑娘，愛國、民主、科學的光環不過是強抹的脂粉，看起來令人賞心悅目罷了。	4.000	5.571	0.667	1.591	news
1852	身兼國民黨主席的馬英九在主持中山會報時表示，國營事業有的處在獨佔或寡佔市場，有的則須面對自由競爭，情況不盡相同。	4.889	4.625	0.567	0.992	political
961	顯卡，內存都不錯~散熱好，除了風口外都不熱，玩遊戲效果不錯~vista有很多xp比不了的優點	6.111	4.875	0.567	0.927	laptop
2432	不過別誤會，不是麥當勞準備開賣蜂蜜相關產品，所以想要以此營造天然蜂蜜的形象，而是為了保護生存環境逐漸縮小的蜜蜂。	6.250	4.625	0.433	0.992	news
1240	去年25萬的獎金，今年最高有21萬，預估平均預估最少10萬塊以上，另類的年終獎勵，員工幹盡十足，公司業績也成長五成以上，聽在一般的上班族耳裏，只能嘆，好羨慕。	5.111	3.857	1.523	1.125	news
1369	前職棒球員許文雄數年前因打假球遭開除，今天又被高雄市警方逮獲涉嫌盜伐珍貴牛樟木送辦，檢警及友人感到相當惋惜。	3.400	5.143	0.49	0.833	news
756	賓館一半的房間都沒有陽光、不通風。	3.222	4.500	0.629	1.225	hotel
2831	康文署總康樂事務經理柯慧兒表示，學界對此計劃反應熱烈，參加的學校由最初三百多間，增至今年逾八百八十間。	6.100	5.875	0.831	1.053	news
2545	特別的是這款飛彈並沒有火藥，因此擊中目標也不會爆炸，而是利用飛彈在旋轉時帶動彈體周圍的鋼刀旋轉來破壞目標，因此可以很精準的擊中敵人卻不會誤傷無辜。	6.333	3.333	1.247	1.563	news
2221	搭載新一代旗艦SoC驍龍855，4800萬畫素加OIS光學防抖拍照，全功能NFC加持，補足了16th上的不足。	6.333	3.286	0.471	1.278	news
2562	今日早上七時許，一名58歲姓蔡男子，被發現倒臥在長洲黑排路直升機坪外，他暈倒陷入昏迷，救護員到場將男事主送往長洲醫院，其後他證實死亡。	3.286	3.000	0.452	1.195	news
2612	這座城市很大，大到可以容納2154萬顆跳動的心，容納他們的喜怒哀樂；這座城市也很小，小到甚至容不下一個孤單的身影、容不下它對未來生活的想像。	4.111	3.571	0.875	1.178	news
187	好可愛的書啊，圖片生動幽默，連我們單位的男同志都喜歡看，呵呵。	6.750	5.889	0.433	0.737	book
1702	立法院朝野黨團日前協商達成共識，要求自101年度起，國營事業（含官股銀行）有盈餘纔可發放績效獎金，但不得超過1.2個月，引發國公營事業單位的不滿。	3.375	6.286	0.484	0.7	political
1693	以下這段話更清楚：「我們會對怪手入侵農田義憤填膺，我們會對建商強拆民宅無法坐視，我們也會對公共媒體被資本家把持而憂心忡忡」。	3.333	6.222	0.816	0.416	political
1547	歷年所罕見，說明軍方對周邊形勢有強烈的憂患意識，調整演訓重點，以備不時之需。	6.000	5.000	0.816	0.632	news
190	中國傳統的教育思想有壓抑自我、框定思想的東西，如果看了這本書，我想大人都會掩卷微笑，多麼好玩的故事，多麼陽光的結局啊。	6.667	4.625	0.471	1.495	book
2846	曼聯今季表現差勁，不少人歸咎於領隊摩奴，但剛宣佈離隊的安達靴里拉則認為責任在於一眾球員而非主帥，又指對方已為球隊盡一切努力。	4.333	4.778	1.155	1.618	news
264	常常覺得聰明和智慧相比，我更喜歡智慧。	5.375	3.833	0.484	1.344	book
181	當現代生活越來越快速，生活壓力越來越大的時候，能讓煩悶的人們在閱讀的時候心情愉悅的書，就是一本好書。	7.000	4.571	0.535	0.728	book
2606	今早上約七時半，觀塘油塘道9號小巴站對開位置，有人報案指一輛停泊路邊的小巴，擋風玻璃碎裂，司機在取車時發現小巴內的錢箱被竊。	3.286	5.429	0.452	0.495	news
1586	迴應社會改革聲浪，立法院長王金平昨天邀集朝野黨團協商後，達成共識，要求中油、臺電、臺糖和自來水公司等四家國營事業，今年度發放經營績效獎金，最高不得超過一.二個月，將較現行二.六個月，大砍一半以上，初估平均每位員工將少領約十萬元獎金。	4.857	4.429	0.35	0.728	political
2291	據外媒NewAtlas報道，對於不喜歡前往自助洗衣店的公寓居民來說，可以使用緊湊型洗衣機-但洗好的衣服需要烘乾時該怎麼辦呢？	4.625	3.429	0.484	1.178	news
758	衛生間的馬桶是壞的~~一不小心能把馬桶給摔碎。	3.778	5.444	0.629	0.956	hotel
290	其實看的影片之後，相信樓主只是想反應一下原廠處理的態度及消費者的無奈。	4.111	4.714	0.737	0.881	car
1187	他的程度有多差？寫一句話十個字，大概會錯七八個字，我覺得他有閱讀障礙，發過通知單給家長，希望送他去做資源鑑定。	3.286	4.875	0.452	1.269	news
1968	對北韓來說，春節是民俗大節，所以，包括兒童和學生們，也都湧向平壤的「金日成廣場」、「平壤體育館廣場」、「黨創建紀念塔廣場」等多處，展開多樣化的民俗活動。	5.000	4.143	0.866	1.125	political
2866	中正一分局表示，財團法人博愛文化基金會申請今天在凱達格蘭大道舉辦集會，預計活動時間從下午2點開始，到晚上6點30分結束。	5.000	1.800	0.0	0.872	news
2211	自近兩年來新造煙企業迅速湧入市場至今，許多電子煙產品的銷售增長資料都很出色，但隨著需求的上漲以及管道的增加，各方面的壓力也隨之而來。	4.000	4.000	0.0	0.926	news
1163	被害女網友們無人曾與詐騙男友見過面，但詐騙男友卻以「廠商要賄賂我，不能用自己的帳戶收回扣」，成功要到被害人帳戶，且允諾即將回臺，會把獎金分給女網友，還要攜手步入禮堂。	3.750	4.000	1.09	1.155	news
486	有錢歸有錢...可是我實在不懂有錢然後拿Camry來這樣玩有什麼意義?	3.444	5.857	0.956	0.99	car
2836	電影題材緊貼現代社會人際關係，扺死到肉，觀眾冷眼荒誕世情，忍俊不禁之餘，也猛然驚覺，對照一下自己，原來也是不遑多讓，五十步笑百步而已。	4.250	4.714	0.661	0.7	news
2402	巴以衝突升級已致20多人喪生逾200人受傷--法制網法制網5月5日，在加沙城，巴勒斯坦人檢視在以軍空襲中損毀的房屋廢墟。	2.833	5.429	0.373	1.761	news
1779	既然核四不堪用，我在此提議，要不要把建出核四這麼爛建築物的工程師及相關包商送上斷頭台？國民黨實在讓我太失望了。	2.778	6.429	0.416	0.728	political
1365	陳文禮指出，陳昱安行兇前寫下「殺人摘要」，預謀犯案許久，而非一時受到刺激，砍殺父親的部位也多是要害，行兇時生魚片刀甚至卡在父親胸前，殺意堅定，犯後並曾說「後悔不存在我心中」。	2.000	5.429	0.0	0.904	news
2005	探索冥王星的努力，背後是一個時而不可思議、時而令人膽戰心驚的故事，當中穿插著一道又一道意想不到的盲彎，一條又一條看似走不通的死路，還有許許多多的驚險一瞬間。	5.556	5.250	0.497	1.714	news
152	我想我是愛孫波的。	5.143	4.167	0.35	0.687	book
2155	翻譯棒的選擇五花八門，先前我們已經針對市面上最貴的翻譯棒、最便宜的翻譯棒以及一般人只要有手機就可以用的免費翻譯方案三種方案，比較在日文上面各種方案的不同。	5.000	1.600	0.0	0.8	news
2249	隨著美國禁令逐步生效，越來越多的企業選擇與華為停止合作，其中包括谷歌、英飛淩、ARM等等，現在華為幾乎每天都會迎來一個壞訊息，令人心揪。	3.222	4.556	0.629	1.892	news
1618	由臺灣國際勞工協會（TIWA）、天主教越南外勞配偶辦公室等移工團體組成的MENT今天上午前往行政院，他們指出，2012年12月21日是馬雅傳說中的世界末日，但世界末日還沒到，在臺灣的移工早就過得有如世界末日般的日子。	3.000	5.714	0.0	1.278	political
1901	憑什麼要大家相信你?	2.750	6.875	0.433	0.927	political
800	廁所骯髒，長年累積的汙斑，臭味，令人無法如廁。	2.000	6.833	0.775	0.898	hotel
635	感謝您對大連銀帆賓館的中肯評價！	6.400	5.714	0.49	0.452	hotel
596	空調的溫度調節器很糟糕，搞懂該怎麼調會費你許多時間，不信可以去試試，哈哈哈哈哈哈。	3.556	5.111	0.497	1.663	hotel
834	地理位置極好，去會展中心很方便，不必太擔心堵車。	6.333	5.286	0.471	0.7	hotel
1745	當下便宜好操弄，但對未來卻傷害大、成本高，民進黨對中國應該要放下仇恨。	6.125	5.167	1.166	1.067	political
2852	北京大學原校長周其鳳校長髮表致辭，周校長表示品牌日對我們國家將來可持續的繁榮昌盛是非常重要的，因為一個好的品牌是可以代表一個民族的精神、自豪、驕傲和價值。	6.625	3.875	0.484	1.364	news
213	你的快樂的波及範圍已經不是小小的一大片啦~~~~哈哈哈	6.333	6.167	0.943	1.344	book
221	謝謝你的提醒，閔中衷心感謝	6.375	5.667	0.857	0.471	book
1861	行政院長陳沖16日召開政務會談，聽取經建會「自由經濟示範區推動方案」簡報。	5.111	2.750	0.314	0.433	political
2717	他又說，注意到民進黨當局的一系列分裂言行，指出臺獨是臺海和平穩定的最大現實威脅，是臺灣同胞根本利益的最大禍害。	3.000	6.000	0.816	1.512	news
1574	由於美國、英國決定不派兵到馬利，法國也希望避免軍力部署過度，因此西方各國只能倚賴當地軍隊，但當地軍隊並不會全盤接受外界建議。	5.000	4.000	0.0	1.323	political
334	這些配備，或許將來可以救你一命，甚至救其他人的命！	6.125	5.143	0.927	0.833	car
532	安全線已到--我見過開到鋼絲外漏還不願意換的車主卡車，這種人最可惡，沒錢換胎開什麼車，走路就好了，不要害人。	2.556	6.714	0.831	1.03	car
2693	最近開始跑步，覺的原本的小米圈鐵耳機pro的線越來越惱人，因此找了拍賣上最便宜的真無線藍芽耳機來試試。	4.667	5.625	0.471	1.654	news
1495	有韓國網友在官方討論區發文，懷疑TPA以不正當手段取得勝利，引起韓國玩家討論。	3.750	4.571	1.09	1.591	news
1949	阿富汗母親：「我5個孩子都非常虛弱，體重不足，我們的生活狀況很差，日子過得非常苦。	2.556	4.714	0.497	1.03	political
1229	事情發生了，請讓新生命帶來喜悅與平安，而不要帶來恐嚇與恐慌。	4.444	3.571	0.956	0.728	news
659	這個賓館的服務員都說自己的餐廳做的當地小吃好吃，實在不敢苟同，份量少，味道也不地道，價格卻不低，建議重視當地美食的朋友不要在賓館的餐廳就餐，會對山西的小吃產生錯誤印象的。	3.000	6.000	0.0	0.756	hotel
1397	也難怪不少人大呼莫名其妙，嘲諷歐盟該得的是經濟獎而不是和平獎；還有人胡亂推測說，德國會領走和平獎獎金，而且一毛都不分給身陷急需紓困的希臘。	3.500	5.143	0.5	0.833	news
2884	臨床上，腎氣不固、下焦虛寒導致的遺尿最為多見，症狀表現為小便清長、神疲乏力、面色少華、形寒肢冷、腰膝痠軟等。	3.714	3.143	1.161	1.726	news
1817	就事後處理的方式而言，死刑真的有用嗎？前幾個月槍斃了四五個，有遏止嗎？.	2.556	6.500	0.831	0.707	political
92	有些東西做出來“實用性”還挺強，像太陽帽，剛好能戴在兒子頭上，拖鞋，他也剛好能“穿”，兒子自己還說吶“大小正合適”，呵呵。	6.000	5.625	1.342	1.111	book
1928	外交部表示，其中100萬美元（約新臺幣2885萬元）經駐美國臺北經濟文化代表處與美方諮商後，將於華府捐給實際投入救災的慈善機構，其餘30萬美元（約新臺幣865萬元）則分別捐贈給受創最嚴重的紐澤西州、紐約州及紐約市各10萬美元（約新臺幣288萬元）。	4.875	4.875	0.927	1.269	political
1850	那以後市長的重大決策做錯了是不是也說只是開玩笑就好了呢?	2.778	6.000	0.786	0.943	political
308	ALTIS開過之後，覺得還蠻穩定的一輛車，跟他牌車的落差不會太大但一旦開過他牌車，再去開CAMRY....我覺得好像是在船上，晃啊晃啊，每每下車都會些許頭暈，方向盤輕	4.444	5.111	1.066	0.737	car
606	我住的是特色大房，很好，以後去福州一定還來住這個。	6.889	5.556	0.314	1.165	hotel
1609	另一方面，美國又不斷加強在釣魚臺附近海域的軍事部署力度，試圖以軍事手段壓制中國，逼迫中國不再採取強硬反制措施。	4.111	5.750	0.994	1.09	political
2225	許多使用者反映，自己莫名其妙被逾期了，即根據合同約定在還款日足額將款項打入小米金融APP內，卻收到了資金出借方——民生銀行的逾期警告簡訊。	3.714	4.444	0.452	1.771	news
2241	但在今早的第五個符文現身後，煙霧開始加劇、不時地噴湧出更大的橙色羽狀物、甚至偶爾還會吐出熔岩和導致地面晃動。	3.667	5.857	0.471	1.807	news
58	由最初的報復之愛，到最後的生離死別，當中的不捨與深愛，只有當事人才瞭解吧。	4.143	6.429	0.833	0.728	book
589	房間有點舊了，但還算整潔，水有點黃，建議多帶點瓶裝水飲用，環境不錯。	6.000	3.000	0.5	0.756	hotel
780	感謝您對國賓大酒店的認可。	5.889	3.750	0.737	0.661	hotel
2066	透過合勤科技創新及研發中心技術總監吳俊德的訪問，也許可以從合勤開發Nebula的經驗，給未來想要從事軟體開發的團隊有些啟發。	5.833	4.667	0.687	1.374	news
1203	臺灣ＴＰＡ打敗韓國ＡＺＦ，再度引發國人愛國情操，ＰＴＴ網友barucher開心地說，「今天纔是真正的國慶日，韓國人回星海挖礦吧！	7.222	6.833	0.416	0.687	news
2949	有沒有遇過一種狀況，通常餐廳的Menu、廣告精美可口，但當餐點上桌時往往令人大失所望，因為相片和實物的相差實在太大。	3.500	4.000	0.5	1.549	news
1847	挺貪汙阿扁還硬要裝成無黨籍就算了今天又講邵曉玲腦袋秀逗事後還說是開玩笑的台灣的首都真的需要這種市長?	3.125	6.857	0.927	0.639	political
1836	據轉述，馬指出，有的國營事業屬於獨佔、寡佔，有的則要面對自由競爭，情況都不相同，他支持改革，「行政院也支持這樣的改革！	5.556	4.375	0.956	0.992	political
1422	數位原力總經理徐人強說，遊戲產業發展二十多年，國內已有七、八家上市公司，年輕世代的市場觀念已經跟上，但是社會決策階層的人似乎還沒，尤其在購物、閱讀都已是數位化的時代，電子競技也應該被正視，「臺北暗殺星」在國際上的優異表現，是一個很好的時機，錯過了，不知又要拖到什麼時候。	4.444	5.667	1.165	0.943	news
884	筆記本整體散熱極好。	6.375	5.167	0.484	0.687	laptop
820	另外，還有一點就是隔音不是很好，我們入住的客戶有嚴重失眠，常被門外的腳步聲和喧譁聲驚醒！	3.000	5.667	0.0	0.471	hotel
1470	總統表示，新的1年，他心中有3個願望，希望經由他和全民共同努力，打拚出臺灣新氣象。	6.000	4.875	0.816	0.927	news
1221	懷孕了，固然是好事，但在學生時期懷孕得面臨許多挑戰。	5.125	4.778	0.599	1.133	news
2561	每次洗鞋都會被告知摺痕地方是無法處理的，難以避免的使用痕跡讓鞋子看起來格外舊，對於愛鞋者來說是心痛卻又無法避免的狀況阿...如果跟你說摺痕有辦法處理你信嗎？	4.750	6.111	0.661	2.183	news
2141	此商品目前在中國特產·莊河館特價至28.8元，可領取7元券，到手21.8元包郵，摺合4.36元/斤，感興趣的值友不容錯過。	6.000	4.875	0.667	1.615	news
1195	低迷的職棒環境注入強心針，鼓勵好手們努力拚身價。	5.889	5.750	0.737	0.661	news
2321	香港豬肉行總商會理事長許偉堅表示，若發現豬隻受感染，不會反對屠宰所有豬隻；但豬隻是業界財產，若沒有問題，應該盡快放行豬隻。	5.000	3.444	0.667	1.423	news
787	非常安靜，房間窗外就是山林，空氣很清新。	7.250	3.286	0.433	0.7	hotel
380	不過Camry或是以前進口的Coronalla及純進口的都還算不錯	6.000	5.000	0.0	0.535	car
2216	和市面上用於建立原型或者用於小規模生產的3D印表機不同的是，惠普最新推出的JetFusion5200是專門為大批量生產而設計的。	5.667	2.833	0.745	1.675	news
1632	疾病管制局副局長施文儀日前在臉書上質疑美國免籤，並反對陸生納入健保政策，引起外界非議。	3.900	4.625	0.831	1.218	political
2491	律師呈上陳婉玉當年的筆記，記下她向女兒解釋的說話，包括做第三者是不對，但馮永業對她很好，對話間亦有提到換樓、行賄和航權的字眼。	4.000	3.778	0.775	1.133	news
619	不如住火車站對面的如家快捷商務酒店，上網還免費！	4.625	6.125	1.317	0.781	hotel
1633	這些說法，不能說完全沒有一點道理，但仔細推敲，其實大有商榷餘地。	5.222	5.000	0.416	0.866	political
1494	《英雄聯盟》Season2世界冠軍賽十月十四日的總冠軍賽，臺灣戰區代表隊「臺北暗殺星」纔在五戰三勝賽制中，以三比一打敗對手、韓國「AzubuFrost」，在全場歡呼聲中抱回一百萬美元獎金、與象徵最高榮耀的召喚師冠軍獎盃。	7.889	7.125	0.994	2.204	news
