No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
408	還價錢都訂好了咧...雖然還算是行情價!但可能就是抓住價錢不算貴，怕麻煩的心理詐騙!!建議一定要找員警!!不一定是機車要賠汽車!!雖然你們沒犁田，人也沒事!突然想到:叫員警來，先開牠一張亂改大燈HID)，應該比2500貴很多!還要驗車!!可能牠會倒給你一千，抱著牠的下巴落荒而逃!	3.556	6.125	0.956	0.781	car
78	看來不能以自己的喜好來決定買不買，大獲好評的書還是值得買的。	5.444	4.143	0.831	1.125	book
1873	呂：馬只想當中國人前副總統呂秀蓮致詞表示，四年多來，臺灣的錢外流三兆八千億元，造成失業越來越嚴重，現在連外資都跑掉了。	3.000	5.125	0.0	0.927	political
519	深感不以為然才發文的，另一方面某種程度上我也給了樓主一些建議，那就是TOYOTA的車要操壞沒那麼容易沒想到幾天沒上來看結果這整棟樓歪掉了，對此對樓主致上歉意，小弟真的沒想到會如此樓主有問題上網尋求幫助和經驗分享，請各位高手先進們回復到樓主的議題，並祝新年快樂，謝謝	6.250	3.400	0.829	0.49	car
705	唯一不足的是門口修路，不過聽說五一就可以修好。	5.250	4.250	0.829	1.392	hotel
799	房間裏黴味，煙味撲鼻，沒有窗戶通風，骯髒的地毯上的斑斑點點的汙蹟，令人觸目驚心。	1.889	6.875	0.737	0.927	hotel
1465	嚴重燒傷忍痛一晚燒傷自己引發大火林嫌供稱，他月薪2萬多元，請父母每月幫他定存5000至1萬元，日前他檢視存摺，卻未見幫他存款，生氣問父母，並和父親發生激烈口角，前天下班，他一度不想回家，後來聽魏姓老闆的勸才回家，途中跑到新埔河濱公園，抽取自己機車的汽油，用1公升裝的汽水寶特瓶盛裝。	3.500	4.500	1.118	0.764	news
2235	對於旁觀者而言，建築的崩塌代表著這座宗教與文化紀念碑的毀滅性損失；而對於巴黎消防隊來說，這意味著現場400多名消防員的性命正受到威脅。	3.125	6.125	0.599	0.927	news
1150	人家常說：「有禮貌的孩子人人喜愛，守紀律的孩子不會變壞。	6.444	3.429	1.066	1.294	news
1680	《新新聞》的調查使人想到今年九月，《天下》雜誌所做的「二○一二縣市長滿意度調查」，雖然名次有些小異，但大方向無差，在前面的是臺南市賴清德、宜蘭縣林聰賢、苗栗縣劉政鴻、嘉義縣張花冠，至於藍營的天王新北市朱立倫、臺中市胡志強、臺北市郝龍斌，已連續兩年分居第十九名到第二十一名，只比吊車尾的基隆市張通榮好一點點而已。	4.222	5.286	0.916	0.881	political
1674	保護當事人，不能提供，但透露這位好友常出入考試院長關中去的按摩院，好友是聽按摩的小姐說的，錄音帶是好友來找他時所錄，這位好友和潘董也認識。	4.556	4.111	0.956	0.875	political
855	1000HE的觸摸板用起來很舒服，華碩對人性化的追求是從沒停止過的，每一代的產品都令人驚喜。	7.000	4.714	0.535	1.03	laptop
1801	據美參議院網站消息，參議院全體會議日前通過《國防授權法案》附加條款，指明美國對日本防衛義務的《美日安保條約》第五條適用於釣魚臺；該條款通過，意味中日一旦在釣魚臺海域發生衝突，美軍可直接武力介入。	5.143	4.250	0.639	1.199	political
1080	景氣差，經濟壓力大，單親家庭不能說的秘密不是父母離婚，而是經濟話題！	4.625	4.500	0.484	0.866	news
1068	飛航安全是一項只有起點沒有終點，且必須徹底執行的工作。	5.778	3.000	0.916	1.225	news
212	裏面也有寫娜娜家裏之前遭遇的變故，文筆一如娜娜一樣樂觀但還是有心酸娜娜很讓人心疼娜娜加油咯！	5.429	6.000	1.05	0.866	book
203	這幾年，我對那些高中生之間的愛情，已經不敢興趣。	4.000	3.375	0.816	0.484	book
790	晚上22:30左右入住，前臺接待很冷淡，無笑容	3.556	4.000	0.956	1.0	hotel
2738	向來女兒的出生被媽媽們戲稱是”最強小三”的誕生，不過當了人家女兒這麼多年也確實有感受到爸爸對於女兒無條件的溺愛	6.000	4.000	0.0	0.926	news
1364	陳文禮說，陳父要求陳昱安外出工作，是一般父母對子女的期待，陳父50多歲了仍不辭勞苦工作，陳昱安卻無同理心，不知感恩圖報。	3.250	5.286	0.433	0.7	news
1659	馬英九執政把經濟搞到這般困境，所以媽媽們決定發動一人拉一人的行動，成立聯盟響應罷免馬英九行動。	3.778	6.286	1.227	0.881	political
664	最後希望他們可以送雙早!謝謝!:)賓館反饋2008年2月15日：您好！	5.250	3.778	0.433	0.916	hotel
110	我一直使用迪奧的化妝品20多年了，無論護膚品還是香水對我都非常喜歡。	7.000	5.143	0.667	0.833	book
2188	在耐性用測試視訊中，Pixel3a憑藉著過硬的做工通過了UP主ZackNelson嚴苛的測試，所以近期打算購買該機的使用者不用擔心是否耐用了。	5.833	3.667	0.687	2.134	news
897	保持了商務機穩定，4999搶的，這個價錢值，改裝XP有點麻煩，開始老是出錯，後來看了前面一位兄弟說的要在BIOS裏把sata改成IDE，改了後，果然可以，重分區後安裝順利，目前運行穩定。	6.375	4.000	0.857	1.0	laptop
1093	朱男到廚房拿兩把菜刀，躲到二樓儲藏室，下午四點多，女友的十二歲小弟先回到家，朱男先用童軍繩勒他脖子，再持菜刀從頸部砍入，拖到浴室門口，讓他流血過多死亡。	3.625	5.000	1.218	0.816	news
2358	一名患銀屑病多年的31歲姓陳青年，昨日在大埔富亨?寓所墮斃，遺書透露自己不堪病魔折磨，加上財困而選擇走上絕路。	2.625	4.333	0.484	0.667	news
21	嘻嘻，女人就是愛折騰，只要能讓自己變美，就絕不怕麻煩，所以，從這個方面講，算是本好書吧	6.375	5.625	0.484	0.992	book
1863	有鑑於此，示範區內將放寬國內市場投資限制，配合土地、勞力與租稅的法規調適，以吸引投資、增加產值、創造就業並接軌國際。	6.000	3.875	0.707	0.927	political
507	我開什麼車不重要，但重點是絕對比國產的Camry安全相對比較下Camry對我來說不安全)還有作啥工作跟車子有啥關係?	4.333	5.625	0.943	0.992	car
2826	海軍宜陽軍艦日前實施備戰操演暨海上射擊訓練，該艦依程式、步驟、要領執行各項檢查及5吋砲射擊作業，期間全體官兵均全神貫注、互助合作，展現平時精實訓練成果。	6.375	3.875	0.484	1.269	news
1264	害怕給店家帶來麻煩，所以總是要附上一張「告示」宣導寵物上餐廳的禮儀。	5.111	3.500	0.737	1.0	news
833	使用房間電腦會收使用費，不過上網是免費的，速度也很快。	6.556	4.429	0.497	1.05	hotel
2328	隨著比特幣數量越來越少，挖幣的難度也逐漸加大，而且耗電量激增，所以比特幣價格飆升很大一部分原因來自於成本過高。	4.375	3.600	0.484	1.8	news
1072	國民水準愈來愈高，人家覺得我們有這條件，護照沒有去騙人，簽證被拒絕的比例從過去超過三％，已經降到了一.九％。	6.667	5.625	0.471	0.696	news
1338	連發投注站老闆娘洪月娥說，前天下午四點多，一名年約二十多歲年輕人路過，看到大排長龍買彩券及刮刮樂，也好奇排隊試手氣，花了三百元買一張「紅包一把抓」刮刮樂，因當時人多，由她隨意挑選一張。	5.000	3.429	0.0	1.178	news
1301	自製標語、旗幟，祈禱臺灣隊守住冠軍，不要讓韓國隊帶走。	5.714	5.250	0.7	0.968	news
1943	柬埔寨國家電視臺當地時間早上6時發佈了柬政府公告，施亞努因自然原因於淩晨1時20分（北京時間2時20分）在中國北京醫院逝世。	3.333	4.667	0.816	0.471	political
160	開始會擔心裏面的附贈品不知道會不會有，看來是有的，朋友收到了很開心也很喜歡	6.375	5.375	0.696	1.409	book
1354	她因行動不便，只能半跳半爬躲往角落，幸好周某走出店外，未追殺她，但她至少捱了4刀。	3.625	6.286	0.484	0.7	news
2896	近來臺灣虐童案件頻傳，為了防止更多悲劇發生，立法院會今日三讀通過，未來若淩虐18歲以下兒童或少年致死，最重可處以處無期徒刑或10年以上有期徒刑。	6.000	4.625	0.816	2.643	news
772	在今後的服務中我們會不斷改進，同時針對每位客人給我們提出的人性化建議進行改進，不斷提高。	6.500	5.000	0.5	0.577	hotel
2960	20年間，騰訊的QQ從一個弱不禁風的小企鵝成為擁有超過8億使用者的龐然大物，生財之道也一直有聲有色，特別是各種各樣的會員、鑽讓騰訊賺得盆滿缽滿。	7.000	6.500	0.756	1.5	news
2016	可以感覺到，他有些難以啟齒的地方，但又知道問題很痛，想用一支筆，畫那幾張圖，告訴世界，我知道你受傷了，我能做的不多，但想給你一點安慰，好不好？	5.000	5.000	1.512	1.291	news
2053	balaby輕便耐磨，柔軟舒適~亞馬遜中國Clarks此商品亞馬遜中國下單實付364元，喜歡的值友不妨關注一下~	5.375	3.000	0.484	2.16	news
636	近期大連銀帆賓館主樓裝修改造工作已經完成，您所指的應該是康體俱樂部大樓的短期工程，現將儘快整修，感謝您在銀帆裝修期間一如既往的支持。	5.778	3.714	0.786	0.7	hotel
567	美中不足之處是早餐一般，有時客人沒有吃完，早餐部的服務人員就自己坐下來吃了，需要改進。	2.857	4.857	0.35	0.639	hotel
2088	雖然測試版由於沒有進行具體優化而導致效能不佳，但從畫面視覺效果上來看還是很不錯的，即便是在4K解析度下，畫面仍然保持著柔和的態勢。	6.222	2.900	0.786	1.64	news
1319	「終於還是走到這一天，要奔向各自的世界，沒人能取代記憶中的你，和那段青春歲月」，在「放心去飛」歌聲中，慘遭割喉的方小弟就讀的國小，三日舉行集體創傷輔導及哀悼儀式，同學們哭紅了雙眼摺紙鶴，還寫下卡片以黃絲帶係在校園樹上，傳達最哀痛的思念。	3.556	4.500	0.956	1.5	news
2310	近日，滴滴出行APP內出現特惠拼車功能；4月15日，滴滴順風車事業部總經理張瑞通釋出公開信，列舉了半年以來，滴滴順風車在安全事情上做的若干措施。	5.556	2.444	0.497	1.257	news
1678	宣傳讓人民雖不滿意但支持他們，中央及地方的不滿意度儘管一直上升，但它仍未必會被取代！	4.375	5.429	0.992	1.294	political
1472	總統坦承，去年12月份失業率持續下降到4.18%，失業人數比11月份少了1萬人，就業人數比11月多了1萬3000人，「請大家放心，新的1年裏，我們的經濟、我們的生活，一定會更好。	6.333	6.250	0.667	0.661	news
1493	兩百三十三萬小時，等同兩百六十六年，相當於清朝從誕生到滅亡；每天有高達兩百二十萬的英雄被召喚作戰，也有將近四十五萬場對戰天天上演！	5.000	4.000	0.667	1.069	news
1041	佔地盤圍事販毒討債魏懷良涉嫌指揮手下佔地盤圍事、販毒、經營地下錢莊與職棒簽賭來賺錢，也曾代人出頭，向龜山鄉一處工廠索討3000萬元的債務，對方還不出錢，就派手下圍廠，限制員工進出。	3.250	3.857	0.433	0.833	news
1582	本篤十六世曾在五年多前對中國天主教徒發出牧函，要求統一中國控制的教會和地下教會，結果情況變得更糟	3.750	4.444	0.829	1.257	political
902	1、配置足以滿足我的需要；2、螢幕完美，整機外觀不錯；3、發熱還行，沒說的那嚴重；4、聲音效果還行	6.625	5.000	0.484	0.756	laptop
2101	美國司法部長巴爾，出席國會參議院司法委員會聽證會，巴爾對特別調查官米勒完成的通俄調查報告，沒有就總統特朗普有否妨礙司法公正的問題作出結論，感到驚訝。	4.000	5.400	0.0	1.744	news
561	感謝您對大連銀帆賓館的滿意和支持！	6.600	5.333	0.49	1.491	hotel
2274	據媒體報道，江蘇南京的陳女士一家去年6月通過自如租房，但是入住僅僅4個月後，2歲半的兒子就患上了白血病，11月4日住院到2月14日僅僅100天便不幸去世。	3.125	4.222	0.331	1.227	news
1986	我就是看不起這家公司！	2.111	7.778	0.875	0.916	political
914	總之一句話，適合自己就好！	5.889	4.857	0.567	0.833	laptop
2504	直觀感性的說，這種人我們驚呼為女神；冷靜下來後，為了表達對這種哪兒哪兒都好的不可理喻，我們稱呼她為指令碼怪。	4.500	3.333	0.5	1.826	news
1386	陳伸賢表示，照顧及服務每一位市民是新北市政府的責任，尤其身障朋友們更需要一個友善的工作環境，讓他們發揮長才、培養職業技能。	6.333	5.000	0.667	0.5	news
428	我在奧地利坐朋友出廠四年的賓士柴油車。距離五十公尺。還沒看到車就聽到柴油引擎聲。不知是不是歐洲賓士都比較爛。賓士車或許比較安全。但不見得好開舒適故障率低。	4.000	4.000	0.707	0.816	car
2799	但AC米蘭與波隆那這場混戰氣氛火爆，雙方合計3名球員吃紅牌被趕出場，AC米蘭法國籍中場巴卡約科也在場邊與總教練加圖索大吵。	3.375	6.429	0.484	1.178	news
1092	朱男懷疑女友因另交男友而欲分手，去年三月七日，潛入女友住處，從女友的相機中發現女友與其他男子的合照，記事本中並記載上汽車旅館、買避孕藥等。	3.125	5.625	0.599	1.317	news
115	看了確實有：“...讓我回憶最多的，卻不是人生旅途裏這些成功的瞬間，而是那些刻骨銘心的失敗或挫折...”它展示地是一個真實與真誠的人，一個真心與你分享如何才能成功，而不是一個天才的故事、打工的神仙。	6.000	5.571	0.667	1.178	book
2171	雖然該建議不包括基於該缺陷可能網路攻擊的任何詳細資訊，但BSI警告說，駭客只需向其目標傳送包含特製檔案的惡意電子郵件，在某些情況下，甚至不需要開啟該檔案。	3.000	6.000	0.816	0.816	news
569	地處繁華，服務員很友好。	7.300	5.125	1.187	0.781	hotel
127	水說愛的語言，水能結出很美麗的結晶，哪麼要是人與人之間都說好話，我想我們人類就能很好的控制自己的情緒，人有了一個好心情，幹什麼都能成功。	6.375	5.857	0.696	0.99	book
2040	法官斥被告針對單身女性工作者搶劫的行為卑劣懦弱，又出賣朋友並讓朋友蒙受經濟損失，更在受懲教署監管時目無法紀地接連犯案，最終判其監禁共6年零8個月。	3.600	3.667	0.49	1.491	news
2085	鼓勵身心障礙學生不畏困逆、勵志求學，中華醫事科技大學154位身心障礙學生獲教育部頒發3百多萬元獎助學金。	7.286	5.143	0.452	0.99	news
2762	Facebook的人工智慧工程師已經研發出一種稱為自我監督學習的技術，因此社交網路的技術可以更快地適應諸如發現仇恨言論等挑戰。	6.333	4.833	0.745	1.572	news
2032	有人認為無傷大雅，但本文作者指出，笑話中的性別刻板印象、強暴迷思，傷害累積起來，也可能落入人們對日常生活的想像中。	3.556	4.889	0.497	1.37	news
444	或許外面的不是正廠零件。	4.333	4.200	0.471	0.748	car
1190	家長而延遲治療機會，孩子的時間就被浪費了。	4.000	5.000	0.816	0.707	news
1396	有人嘲諷應拿經濟獎不是和平獎諾貝爾和平獎委員會大力推崇歐盟，在締造歐陸和平上的貢獻，但事實上，歐盟對於在其正式成立不久後所發生的波士尼亞戰爭，幾乎使不上力；遑論目前歐債危機橫掃大多數歐盟國。	3.286	5.000	0.452	1.0	news
783	餐廳的服務員態度不友好，免費提供的早餐有的在早上八點就沒有供應了蒸雞蛋和炒米粉，小妹與服務員交涉兩次未果，早餐供應時間是到上午九點結束的.	3.286	4.750	0.7	1.199	hotel
692	前臺的服務意識還是不錯，下次要好好享受一下酒店的服務。	6.778	4.875	0.629	0.927	hotel
1313	昨天以三比一（五戰三勝賽制）打敗韓國AzubuFrost隊，拿下冠軍，贏得一百萬美元（約三千萬臺幣）獎金。	8.143	7.286	0.833	2.05	news
2632	5月6日，騰訊官方公眾號發表了一篇文章，名為微信錢包-零錢沒有餘額怎麼辦，當滿懷期待的使用者點開準備get新技能時，正文赫然寫著九個字那就努力工作賺錢吧。	5.375	3.800	0.484	2.182	news
159	朋友看到我有一套《我的路》也很想要，所以讓我幫她買。	5.400	3.444	0.49	1.257	book
684	硬體不錯，相對於223的房價，絕對性價比一流；但是軟服務還有待改善，特別是有非正常情況發生時要多從客人角度考慮賓館反饋2008年7月25日：首先，感謝您的寶貴意見	5.000	4.625	0.535	0.857	hotel
2300	我認為，我們之所以變得如此冷漠無情，最大原因並不在於大家經常掛在嘴上的家庭解體、個人主義化，而是受到源自排他性家庭主義的歧視與嫌惡所影響。	3.750	4.556	0.433	1.499	news
1306	中華民國國旗高喊「TPA、TPA、TPA」，TPA奪下了世界大賽冠軍，並抱走3千萬臺幣的獎金。	6.875	6.125	0.927	0.927	news
935	如果決定轉賣或交換手機設備，確定將內部資料清除乾淨，恢復到出廠設定，以避免個人資料遭到外流。	5.000	2.800	0.5	0.748	laptop
2463	美國總統川普一連串最新推文，提到華府和北京達成貿易協議的可能性，提供亞股亟需的強心針，區域股市普遍反彈走高，但分析師警告後市恐有更多震盪，投資人抱持謹慎態度。	4.429	4.833	0.495	0.898	news
872	外觀漂亮，白色鍵盤搶眼，功能鍵設置合理;鍵盤材質好，觸感紮實;觸摸板做了凸點處理，手感也不錯，同時具備簡便的觸摸縮放功能	6.778	5.500	0.629	1.118	laptop
483	說真的新舊引擎又如何看上眼的還是一堆你跟他講新舊引擎的差異可能也只會回答差不多啦能開就好但是你跟他說這個新的走DVD瑩幕+衛星導航啥咪5.1環繞音效不用加錢一堆阿薩布魯的配備這套對很多人都是一大吸引力畢竟引擎看不到DVD可以在車上爽這就是車商把台灣人的胃口養大了沒有6個安全氣囊沒關係就是不能沒有DVD螢幕沒有ABSTCSVSD一堆電子配備也沒關係反正開出去自爽就好	3.667	5.444	1.247	1.165	car
2735	老闆若只喜歡聽好話，下屬一定極盡諂媚之言，讓老闆開心，講真話就是笨蛋，徒惹老闆不開心，自己烏紗帽都可能掉。	4.000	6.143	0.707	0.99	news
2331	這牽涉到法院如何在政治對立、媒體品質堪慮、社會價值衝突的大環境下，參與塑造公開發言者的言論尺度；此課題攸關臺灣民主發展的品質，值得認真關注。	6.000	4.600	1.414	1.2	news
1016	以前本本就是三星垃圾屏。	3.625	4.750	0.992	1.639	laptop
870	1、完美屏，無壞點；2、音響效果很棒；3、外觀漂亮，很有面子；4、散熱很好，再加上九州風神N15的散熱架，不錯；5、裝了XP，跑起來飛快；6、介面豐富，超乎想像，連少見的紅外介面都有；7、沒什麼可說的了，希望聯想能夠替國人爭氣，不要辜負大家的期望和支持	7.000	6.000	1.054	1.069	laptop
497	我也覺得有ESP固然很好，但絕對不是萬能一台車失控，若沒ESP，鄉民就說，因沒ESP	4.500	3.750	0.707	1.639	car
1143	立法院質詢話題，行政院長陳沖昨答詢說，經濟部有數位發展計畫，涵蓋遊戲軟體的推廣、外銷等部分；教育部長蔣偉寧則允諾三個月內提出電玩人才甄選升學輔導方案。	5.286	4.143	0.452	1.355	news
721	入住客人少，因此未發生與他們的衝突，此於他們說要接待一個團，	4.444	3.143	0.685	0.833	hotel
1157	雖然EA的NBALive系列從90年代開始便獨佔籃球電玩的龍頭寶座，不過他們在近年來遭逢新崛起的2K強力挑戰，加上他們的NBAElite2011遊戲遭逢重大挫敗，反觀2K則是利用這幾年接連作出叫好叫座的籃球電玩，讓EA無論在聲勢或遊戲內容上都和2K越差越遠，最後促成了EA退出的決定。	4.857	5.125	0.35	0.781	news
1837	藍委推動補貼政策制度化對於國營事業員工反彈，指經營績效受政策性因素影響，有盈餘才能發績效獎金是不公平的；王金平說，國營事業盈餘計算是否包含政策負擔之虧損，立法院協商處理預算無法規範太詳細，只能規範最高可以領多少，這部分未來可以再研究。	4.444	3.167	0.497	0.687	political
1528	他就會想：「平常爸爸都是開開心心的跟我玩，怎麼現在變這樣？」他纔會思考自己哪裏犯錯。	4.429	5.667	1.4	0.745	news
1713	無論你是否幫忙拜票，無論你支持誰各位都作了改變。	5.333	5.000	0.667	0.756	political
2782	來自俄羅斯三星實驗室的研究員新開發的一項AI技術，只需要某人的一張照片，就能帶來一段活靈活現的視訊內容。	6.667	5.800	0.471	0.98	news
2076	根據路透社的情報，Google已暫停了與華為在轉移專利硬體和軟體上的相關交易，從而影響到華為的海外手機業務。	3.857	3.857	0.35	1.125	news
2476	現在，瑞士洛桑聯邦理工學院、伯爾尼大學和瑞士生物資訊學研究所的研究人員發現了一種控制腫瘤是否能夠擴散的特定蛋白質訊號通路，使其成為未來藥物的良好靶標。	6.625	4.111	0.696	1.197	news
530	此道路為單線道但是道路上並不有話單向或是行駛路線路邊無話黃色線道也無紅色線在整個過程中對方撞到我之後變成靜止狀態以機車量的距離與寬度大約是1.5臺車也就是說機車改4輪以人的話可以至少佔4個人所以你說你們說我氣憤不氣憤重點是看他服務那麼多年的環保局垃圾車既然會撞我車子會不會太誇張了再稍微些10~15角度轉彎處太誇張了只能說只想回他幾句髒話哈哈	3.222	6.875	0.629	0.331	car
354	而是要買有NCAP5顆星的認證車種....你說的話好像國產T撞到會死人的如果多花10~20萬的其他車種就不會死了我這樣解讀你的話~對嗎?	3.250	4.500	0.968	1.5	car
2715	當時這位前加州州長正在約翰尼斯堡山同會展中心與粉絲聊天，從錄影畫面中可以看到，他被踢中後背、向前踉蹌了好幾步。	3.556	5.625	0.685	0.992	news
2689	東南亞國家緬甸覬覦外國投資，為本地增加工作機會，瞄準汽車產業鏈，推出一系列措施鼓勵外國投資，包括調高進口汽車關稅、縮減二手車進口量等等。	6.111	3.444	0.737	1.343	news
2180	一項具有里程碑意義的研究發現，攜帶愛滋病的男性其體內的病毒能被逆轉錄病毒藥物完全抑制住，無法感染其伴侶。	6.889	5.000	0.567	1.118	news
601	環境非常非常好，庭院式小棟別墅，雖然說酒店年限很久了，據說92年就有了，房間略小，但是服務、環境都絕佳，強烈推薦，絕對安靜。	7.750	6.167	0.829	0.898	hotel
2704	華為被美國商務部列入貿易黑名單，分析人士警告，這除了會打亂華為供應鏈，還可能拖延中國推出5G的時程表。	3.500	5.222	0.5	1.397	news
1468	長子和丈夫一起罹難，後因火場只有一具屍體，曾撥電話找長子，但他的手機卻關機，且行蹤不明，警方試圖鎖定林嫌最後通話所在地的新豐、湖口一帶，漏夜訪查卻未有所獲。	3.556	2.857	0.956	0.639	news
151	本來就想當本笑話書來看的，沒想到難以笑出來。	4.000	5.125	0.816	0.599	book
130	不停的抱怨，這真是悲哀。	3.111	4.286	0.567	1.278	book
2678	星期日一架直升機在八鄉墜毀，機師王輝雄當場死亡，他是香港飛行總會會員，總會對事件感到非常痛心，形容失去了一名充滿熱誠的飛行員，向他的家屬致意深切慰問。	2.333	4.222	1.054	1.618	news
2731	1.預防圓肩和駝背圓肩和駝背的體態，容易造成肚子更大、壓迫內臟讓呼吸不順暢，嚴重還會影響到四肢麻痺和頭腦思緒。	3.333	5.833	1.106	1.213	news
1645	要解決勞保基金財務問題，治本之道還是得調高費率，但不能一次調足，須逐步調整，把衝擊降到最小。	5.500	4.667	0.5	1.333	political
1447	「2012臺北客家義民嘉年華」昨14)日在臺北市客家文化主題公園舉行主祭大典，馬英九總統特別親任正獻官，與世界客屬總會榮譽總會長吳伯雄、客家委員會主任委員黃玉振、臺北市長郝龍斌等依傳統禮序行上香禮，一同感念義民爺保境安民的忠義精神。	6.125	3.857	0.927	0.833	news
1737	此外，拼經濟向來是比較屬於國民黨的強項，貿然罷免可能面臨的不確定因素，恐使狀況不僅不會變得更好，更糟的機率反而更高。	3.800	5.286	0.872	0.7	political
877	高興啊，立刻取消訂單，重新再定，自提。	5.714	5.714	1.161	1.278	laptop
2215	據看看新聞Knews報道，餘聯兵及其32歲的妻子兩人當天在位於上海青浦趙巷鎮某小區的住房內疑似發生爭執，其妻子親屬曾來找人，並試圖破門進入。	3.667	4.556	0.471	1.707	news
2509	比如看英劇的鄙視看美劇的，看美劇的鄙視看日韓劇的，看日韓劇的鄙視看大陸劇的，看大陸劇的鄙視看印度劇的。	3.857	3.857	0.833	1.355	news
510	不扯太遠現在長輩還是認為國產車買TOYOTA手機門號用中華電信光這2樣就有夠糟糕不是T牌不好而是代理商的心態很糟糕反正:買T牌的不會開快車然後台灣的國慘車基本上配備都是不夠的電信公司更....網路還是不對稱的ADSL速度更...但是長輩們還是這麼認為不過等我們這些青少年變成所謂的老一輩的時候我不相信還能再賺到我們的錢	3.375	4.429	0.696	1.678	car
2151	天貓荷灣生鮮專營店本款產品現售價19.8元，領取10元優惠券後實付9.8元包郵，價格實惠，酸爽下飯，脆嫩爽口，佐餐佳品，喜歡的值友不要錯過。	6.111	2.875	0.737	1.536	news
1604	美中在釣魚臺爭端中的對抗逐步升級，釣魚臺局勢再現緊張態勢。	3.250	5.778	0.433	0.916	political
